GitHub,Synthesized
1.0,1.0
0.5806451612903226,0.1935483870967742
0.6451612903225806,0.3225806451612903
0.7419354838709677,0.3870967741935484
0.6451612903225806,0.1935483870967742
0.5,0.5714285714285714
0.35714285714285715,0.21428571428571427
0.14285714285714285,0.21428571428571427
0.7142857142857143,0.6428571428571429
0.5714285714285714,0.6428571428571429
0.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
0.0,1.0
1.0,0.0
0.3333333333333333,0.6666666666666666
0.125,0.125
0.25,0.25
0.5,0.375
0.25,0.375
1.0,0.5
0.6818181818181818,0.18181818181818182
0.6363636363636364,0.18181818181818182
0.7727272727272727,0.2727272727272727
0.9545454545454546,0.5454545454545454
0.7727272727272727,0.5
0.0,0.0
0.0,0.0
0.8333333333333334,1.0
0.8333333333333334,1.0
0.8888888888888888,1.0
0.75,1.0
0.6666666666666666,0.9166666666666666
0.0,0.0
1.0,0.0
0.0,0.0
0.0,0.0
0.4444444444444444,0.07407407407407407
0.5384615384615384,0.15384615384615385
0.6538461538461539,0.23076923076923078
0.7307692307692307,0.3076923076923077
0.7692307692307693,0.3076923076923077
0.6153846153846154,0.3076923076923077
0.6666666666666666,1.0
0.3333333333333333,0.6666666666666666
0.0,0.0
0.5,0.0
1.0,1.0
0.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
0.0,0.0
1.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.5,0.0
0.0,0.0
0.0,1.0
0.0,0.0
0.0,1.0
0.0,1.0
0.6,0.0
1.0,0.0
1.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,0.0
1.0,0.0
0.6666666666666666,0.0
0.3333333333333333,0.3333333333333333
1.0,0.0
0.5,0.5
1.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.5,0.0
0.3333333333333333,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,0.0
0.6666666666666666,0.0
0.0,0.0
1.0,1.0
0.0,1.0
