scenario file,app,applications,throughput (flits/cycle),delay avg (cycles),delay var (cycles),a,b,type,fire rate,overlap
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-29,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9152172000000001,568059.46,30760691500.0,False,False,compact,0.01,11
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-29,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9563413000000001,177.59864,15612.302,False,False,compact,0.01,11
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-29,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.0224264,381971.55340000003,20709667277.659,False,False,compact,0.01,11
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-29,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.7091700999999999,899640.7,83614548000.0,False,False,compact,0.01,11
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-29,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.4654344000000001,212260.11539000002,7438457463.134999,False,False,compact,0.01,11
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-39,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9502071999999999,175.0045,15769.513,False,False,compact,0.01,14
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-39,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6388919,117.86926,10493.611,False,False,compact,0.01,14
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-39,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.3825676,393939.6,26334580000.0,False,False,compact,0.01,14
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-39,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8171341999999999,223694.50853000002,8102562857.446,False,False,compact,0.01,14
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-39,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.5009449,223260.2,8079141000.0,False,False,compact,0.01,14
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-39,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9144575,604987.8300000001,33954675300.0,False,False,compact,0.01,14
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-39,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.964896,186.30447,17494.024,False,False,compact,0.01,14
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-39,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.0291682,399173.56562999997,22237187539.768,False,False,compact,0.01,14
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-39,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.7072463,901795.8999999999,82104605000.0,False,False,compact,0.01,14
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-39,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.4664715000000001,217523.39,8016769457.063,False,False,compact,0.01,14
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-49,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9633884,185.88451,17381.594,False,False,compact,0.01,22
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-49,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6457678,124.95238,12135.842,False,False,compact,0.01,22
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-49,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.3824304,407238.6,28045850000.0,False,False,compact,0.01,22
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-49,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8350961,218817.57457,7959208864.997,False,False,compact,0.01,22
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-49,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.4962202,222097.6,7869032000.0,False,False,compact,0.01,22
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-49,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9145174999999999,576577.11,32312549800.0,False,False,compact,0.01,22
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-49,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.960002,185.0842,17587.801,False,False,compact,0.01,22
