name,principal_component_1
55757ccd4e2fef4a4d6773baed05c9e94d597b33.cl-A,-0.11577188
6dc686374eb884130fb70db7c0c61ab8ebb46ccb.cl-A,-0.102143985
4a69c2d6d393234ff1eec3efac818e53187961ba.cl-A,-0.137620797
463733a0bbc848293047ba227da76f1b368d250a.cl-A,-0.093010526
1e0c61c18362d2a69f80d8903d3d451dcb7c22e9.cl-A,-0.142220138
2ed31071354206ff0d8112a5239c0d52bef7dc5a.cl-A,-0.138687735
47f63180cb42dbae6c0ff3f58fca964a2bb3c6bb.cl-A,-0.065052252
35f093cc99f08cdc8020e344a3af77fd7a8356c5.cl-A,-0.102186324
2a66ea7faba3f87c5a6f4fcc3cc59f8b935b8912.cl-A,-0.096262148
2a1fccb6db85fa249a224adc2c195dc7dd871156.cl-A,-0.146515826
96fe3c36c83ae7df93c70c13e3ead5faea94f61e.cl-A,-0.209913233
1c722998118b56a511b296270ad1b4ebc8e2d796.cl-A,-0.077724389
247ef0b1d081400581a2dfa344f618b45833acd3.cl-A,-0.095996808
203e15258ca320b0cb6591f90041491e2e5d1fa9.cl-A,-0.089771606
32cace82ca7884c1727ddae87d136c10a5195d51.cl-A,-0.210184201
17e72dca86e46fec4ba0353563d703656299b22e.cl-A,-0.092930114
62834f299b6e296ad0b394402bd99505b5dfc24a.cl-A,-0.092853904
468973c9cb9f0f906cbc2f90f55d711997dc9357.cl-A,-0.164070711
4798f5ec0231f3f7c4835b451bdfabb2e1efcbbf.cl-A,-0.108795576
151b48cf4a90debe6dce21ed1bec50982586bcbf.cl-A,-0.171889391
55bb5a17a94119ccae0c428191e53e16dddcdd2c.cl-A,-0.119460565
7e9cae703a6c4536d910f52bad1da1296dd3400f.cl-A,-0.132618683
9b6c0f39ed371e4b658cd1e6605c472f07cea2f7.cl-A,-0.093010526
1fb2f7d9e46f0808a97ab463b7dcb3da8525439a.cl-A,-0.113659204
a4683ef6f5c00ca884aff2bb70bec2c8d0166703.cl-A,-0.088828866
678007f9084505af540b9a172311e09793edb973.cl-A,-0.099654882
68d0402f84039a6e70c78351bdf55802f0a610bb.cl-A,-0.193386845
a45026936392dacd6d69230288533c02d39d4141.cl-A,-0.192066269
52a85e9e0135caa8a38cc727828e033c2a3194f1.cl-A,-0.089962131
1834a2e8bcfaeb9a22ee8558ed2f56fefe49e998.cl-A,-0.105370203
4eb977b9797dae15e09147c4d47027fbba1d0c14.cl-A,-0.132013053
4505385776ef2b8d9df7f6bfc7875bdecb976b05.cl-A,-0.227848713
29628e82a077b8e55210947065255f119c756505.cl-A,-0.257463879
3231d5a5fc899a82b401e9232e28f39b10998b01.cl-A,-0.086469396
6d2bfd85030be105a5227655f731b39246e208cd.cl-A,-0.065141163
7950e029ddc6e64adf265483d863ebf47efc637d.cl-A,-0.171486518
3bc812744eb629dd1e0ab8f3d3cdfa5215e4c71a.cl-A,-0.076167378
51a96cc5c4f388d4a7e63fff1f67568a21b5d897.cl-A,-0.417475104
2936281cfeb6c6663eec36f141e7a1bfcf8ec96f.cl-A,-0.524727819
381c0a78fb9cb1f71414cafda1140c01aa27791f.cl-A,-0.229696004
4e28574bab153f43e7a25c57c7b9f9f4e88b104f.cl-A,-0.102124932
54dd526b31b599eca0d61edbaaab7fb4f14d443a.cl-A,-0.451092135
4d1365ddc431644d80af03a27a9dc35ddd88fc16.cl-A,-0.089962131
0a8ed33a6ef084d2c9340a8888256c0a50ce753a.cl-A,-0.15575764
371ba4da5ae6213533cd5335a678351e0c5b67ce.cl-A,-0.097673209
907333f9b04f5813a9bbe435f4c6ac5fbbe052a1.cl-A,-0.083759711
0368bd6f883e6cbed4d5051a3ca04cd5d55b25ff.cl-A,-0.093010526
442aebb07518839cd79f4fe84dfd06fbff3b184f.cl-A,-0.138516297
