ue	rb	rxAnt	layer	carrier	Start	FFT	ChanEqlz	IDFT	QamDemod	Decode	ChanEst	ChanInv	est	matrixInv	inv	eqlz	demod
10	75	1	2	1	1	14	10	120	120	10	10	10	1750	0	70	10080	30240
10	75	1	2	2	1	28	10	120	120	10	10	10	3600	0	144	20736	62208
10	75	1	2	3	1	42	10	120	120	10	10	10	5500	0	220	31680	95040
10	75	1	2	4	1	56	10	120	120	10	10	10	7400	0	296	42624	127872
10	75	1	3	1	1	14	10	120	120	10	10	10	1750	0	70	10080	30240
10	75	1	3	2	1	28	10	120	120	10	10	10	3600	0	144	20736	62208
10	75	1	3	3	1	42	10	120	120	10	10	10	5500	0	220	31680	95040
10	75	1	3	4	1	56	10	120	120	10	10	10	7400	0	296	42624	127872
10	75	1	4	1	1	14	10	120	120	10	10	10	1750	0	70	10080	30240
10	75	1	4	2	1	28	10	120	120	10	10	10	3600	0	144	20736	62208
10	75	1	4	3	1	42	10	120	120	10	10	10	5500	0	220	31680	95040
10	75	1	4	4	1	56	10	120	120	10	10	10	7400	0	296	42624	127872
10	75	2	1	1	1	28	10	120	120	10	10	10	3500	0	70	20160	30240
10	75	2	1	2	1	56	10	120	120	10	10	10	7200	0	144	41472	62208
10	75	2	1	3	1	84	10	120	120	10	10	10	11000	0	220	63360	95040
10	75	2	1	4	1	112	10	120	120	10	10	10	14800	0	296	85248	127872
10	75	2	2	1	1	28	10	240	240	10	10	10	7000	280	560	40320	60480
10	75	2	2	2	1	56	10	240	240	10	10	10	14400	576	1152	82944	124416
10	75	2	2	3	1	84	10	240	240	10	10	10	22000	880	1760	126720	190080
10	75	2	2	4	1	112	10	240	240	10	10	10	29600	1184	2368	170496	255744
10	75	2	3	1	1	28	10	240	240	10	10	10	7000	280	560	40320	60480
10	75	2	3	2	1	56	10	240	240	10	10	10	14400	576	1152	82944	124416
10	75	2	3	3	1	84	10	240	240	10	10	10	22000	880	1760	126720	190080
10	75	2	3	4	1	112	10	240	240	10	10	10	29600	1184	2368	170496	255744
10	75	2	4	1	1	28	10	240	240	10	10	10	7000	280	560	40320	60480
10	75	2	4	2	1	56	10	240	240	10	10	10	14400	576	1152	82944	124416
10	75	2	4	3	1	84	10	240	240	10	10	10	22000	880	1760	126720	190080
10	75	2	4	4	1	112	10	240	240	10	10	10	29600	1184	2368	170496	255744
10	75	3	1	1	1	42	10	120	120	10	10	10	5250	0	70	30240	30240
10	75	3	1	2	1	84	10	120	120	10	10	10	10800	0	144	62208	62208
10	75	3	1	3	1	126	10	120	120	10	10	10	16500	0	220	95040	95040
10	75	3	1	4	1	168	10	120	120	10	10	10	22200	0	296	127872	127872
10	75	3	2	1	1	42	10	240	240	10	10	10	10500	280	770	60480	60480
10	75	3	2	2	1	84	10	240	240	10	10	10	21600	576	1584	124416	124416
10	75	3	2	3	1	126	10	240	240	10	10	10	33000	880	2420	190080	190080
10	75	3	2	4	1	168	10	240	240	10	10	10	44400	1184	3256	255744	255744
10	75	3	3	1	1	42	10	360	360	10	10	10	15750	1050	2100	90720	90720
10	75	3	3	2	1	84	10	360	360	10	10	10	32400	2160	4320	186624	186624
10	75	3	3	3	1	126	10	360	360	10	10	10	49500	3300	6600	285120	285120
10	75	3	3	4	1	168	10	360	360	10	10	10	66600	4440	8880	383616	383616
10	75	3	4	1	1	42	10	360	360	10	10	10	15750	1050	2100	90720	90720
10	75	3	4	2	1	84	10	360	360	10	10	10	32400	2160	4320	186624	186624
10	75	3	4	3	1	126	10	360	360	10	10	10	49500	3300	6600	285120	285120
10	75	3	4	4	1	168	10	360	360	10	10	10	66600	4440	8880	383616	383616
10	75	4	1	1	1	56	10	120	120	10	10	10	7000	0	70	40320	30240
10	75	4	1	2	1	112	10	120	120	10	10	10	14400	0	144	82944	62208
10	75	4	1	3	1	168	10	120	120	10	10	10	22000	0	220	126720	95040
10	75	4	1	4	1	224	10	120	120	10	10	10	29600	0	296	170496	127872
10	75	4	2	1	1	56	10	240	240	10	10	10	14000	280	980	80640	60480
10	75	4	2	2	1	112	10	240	240	10	10	10	28800	576	2016	165888	124416
10	75	4	2	3	1	168	10	240	240	10	10	10	44000	880	3080	253440	190080
10	75	4	2	4	1	224	10	240	240	10	10	10	59200	1184	4144	340992	255744
10	75	4	3	1	1	56	10	360	360	10	10	10	21000	1050	2730	120960	90720
10	75	4	3	2	1	112	10	360	360	10	10	10	43200	2160	5616	248832	186624
10	75	4	3	3	1	168	10	360	360	10	10	10	66000	3300	8580	380160	285120
10	75	4	3	4	1	224	10	360	360	10	10	10	88800	4440	11544	511488	383616
10	75	4	4	1	1	56	10	480	480	10	10	10	28000	2520	5320	161280	120960
10	75	4	4	2	1	112	10	480	480	10	10	10	57600	5184	10944	331776	248832
10	75	4	4	3	1	168	10	480	480	10	10	10	88000	7920	16720	506880	380160
10	75	4	4	4	1	224	10	480	480	10	10	10	118400	10656	22496	681984	511488
11	100	1	1	1	1	14	11	132	132	11	11	11	2475	0	99	14256	42768
11	100	1	1	2	1	28	11	132	132	11	11	11	4950	0	198	28512	85536
11	100	1	1	3	1	42	11	132	132	11	11	11	7450	0	298	42912	128736
11	100	1	1	4	1	56	11	132	132	11	11	11	9950	0	398	57312	171936
11	100	1	2	1	1	14	11	132	132	11	11	11	2475	0	99	14256	42768
11	100	1	2	2	1	28	11	132	132	11	11	11	4950	0	198	28512	85536
11	100	1	2	3	1	42	11	132	132	11	11	11	7450	0	298	42912	128736
11	100	1	2	4	1	56	11	132	132	11	11	11	9950	0	398	57312	171936
11	100	1	3	1	1	14	11	132	132	11	11	11	2475	0	99	14256	42768
11	100	1	3	2	1	28	11	132	132	11	11	11	4950	0	198	28512	85536
11	100	1	3	3	1	42	11	132	132	11	11	11	7450	0	298	42912	128736
11	100	1	3	4	1	56	11	132	132	11	11	11	9950	0	398	57312	171936
11	100	1	4	1	1	14	11	132	132	11	11	11	2475	0	99	14256	42768
11	100	1	4	2	1	28	11	132	132	11	11	11	4950	0	198	28512	85536
11	100	1	4	3	1	42	11	132	132	11	11	11	7450	0	298	42912	128736
11	100	1	4	4	1	56	11	132	132	11	11	11	9950	0	398	57312	171936
11	100	2	1	1	1	28	11	132	132	11	11	11	4950	0	99	28512	42768
11	100	2	1	2	1	56	11	132	132	11	11	11	9900	0	198	57024	85536
11	100	2	1	3	1	84	11	132	132	11	11	11	14900	0	298	85824	128736
11	100	2	1	4	1	112	11	132	132	11	11	11	19900	0	398	114624	171936
11	100	2	2	1	1	28	11	264	264	11	11	11	9900	396	792	57024	85536
11	100	2	2	2	1	56	11	264	264	11	11	11	19800	792	1584	114048	171072
11	100	2	2	3	1	84	11	264	264	11	11	11	29800	1192	2384	171648	257472
11	100	2	2	4	1	112	11	264	264	11	11	11	39800	1592	3184	229248	343872
11	100	2	3	1	1	28	11	264	264	11	11	11	9900	396	792	57024	85536
11	100	2	3	2	1	56	11	264	264	11	11	11	19800	792	1584	114048	171072
11	100	2	3	3	1	84	11	264	264	11	11	11	29800	1192	2384	171648	257472
11	100	2	3	4	1	112	11	264	264	11	11	11	39800	1592	3184	229248	343872
11	100	2	4	1	1	28	11	264	264	11	11	11	9900	396	792	57024	85536
11	100	2	4	2	1	56	11	264	264	11	11	11	19800	792	1584	114048	171072
11	100	2	4	3	1	84	11	264	264	11	11	11	29800	1192	2384	171648	257472
11	100	2	4	4	1	112	11	264	264	11	11	11	39800	1592	3184	229248	343872
11	100	3	1	1	1	42	11	132	132	11	11	11	7425	0	99	42768	42768
11	100	3	1	2	1	84	11	132	132	11	11	11	14850	0	198	85536	85536
11	100	3	1	3	1	126	11	132	132	11	11	11	22350	0	298	128736	128736
11	100	3	1	4	1	168	11	132	132	11	11	11	29850	0	398	171936	171936
11	100	3	2	1	1	42	11	264	264	11	11	11	14850	396	1089	85536	85536
11	100	3	2	2	1	84	11	264	264	11	11	11	29700	792	2178	171072	171072
11	100	3	2	3	1	126	11	264	264	11	11	11	44700	1192	3278	257472	257472
11	100	3	2	4	1	168	11	264	264	11	11	11	59700	1592	4378	343872	343872
11	100	3	3	1	1	42	11	396	396	11	11	11	22275	1485	2970	128304	128304
11	100	3	3	2	1	84	11	396	396	11	11	11	44550	2970	5940	256608	256608
11	100	3	3	3	1	126	11	396	396	11	11	11	67050	4470	8940	386208	386208
11	100	3	3	4	1	168	11	396	396	11	11	11	89550	5970	11940	515808	515808
11	100	3	4	1	1	42	11	396	396	11	11	11	22275	1485	2970	128304	128304
11	100	3	4	2	1	84	11	396	396	11	11	11	44550	2970	5940	256608	256608
11	100	3	4	3	1	126	11	396	396	11	11	11	67050	4470	8940	386208	386208
11	100	3	4	4	1	168	11	396	396	11	11	11	89550	5970	11940	515808	515808
11	100	4	1	1	1	56	11	132	132	11	11	11	9900	0	99	57024	42768
11	100	4	1	2	1	112	11	132	132	11	11	11	19800	0	198	114048	85536
11	100	4	1	3	1	168	11	132	132	11	11	11	29800	0	298	171648	128736
11	100	4	1	4	1	224	11	132	132	11	11	11	39800	0	398	229248	171936
11	100	4	2	1	1	56	11	264	264	11	11	11	19800	396	1386	114048	85536
11	100	4	2	2	1	112	11	264	264	11	11	11	39600	792	2772	228096	171072
11	100	4	2	3	1	168	11	264	264	11	11	11	59600	1192	4172	343296	257472
11	100	4	2	4	1	224	11	264	264	11	11	11	79600	1592	5572	458496	343872
11	100	4	3	1	1	56	11	396	396	11	11	11	29700	1485	3861	171072	128304
11	100	4	3	2	1	112	11	396	396	11	11	11	59400	2970	7722	342144	256608
11	100	4	3	3	1	168	11	396	396	11	11	11	89400	4470	11622	514944	386208
11	100	4	3	4	1	224	11	396	396	11	11	11	119400	5970	15522	687744	515808
11	100	4	4	1	1	56	11	528	528	11	11	11	39600	3564	7524	228096	171072
11	100	4	4	2	1	112	11	528	528	11	11	11	79200	7128	15048	456192	342144
11	100	4	4	3	1	168	11	528	528	11	11	11	119200	10728	22648	686592	514944
11	100	4	4	4	1	224	11	528	528	11	11	11	159200	14328	30248	916992	687744
11	75	1	1	1	1	14	11	132	132	11	11	11	1650	0	66	9504	28512
11	75	1	1	2	1	28	11	132	132	11	11	11	3550	0	142	20448	61344
11	75	1	1	3	1	42	11	132	132	11	11	11	5450	0	218	31392	94176
11	75	1	1	4	1	56	11	132	132	11	11	11	7350	0	294	42336	127008
11	75	1	2	1	1	14	11	132	132	11	11	11	1650	0	66	9504	28512
