mapping,random_seed,platform.processor_1.type,passed,type,design_centering.perturbation.perturbation_type,threshold,trace,platform,kpn,representation,log_level,platform.name,platform.processor_0.type
"[8, 51, 32, 39, 75, 79, 81, 82, 69, 19]",5,ARM_CORTEX_A15,30.0,rand,classic,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[38, 17, 70, 26, 58, 13, 38, 73, 65, 55]",5,ARM_CORTEX_A15,30.0,rand,classic,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[48, 77, 15, 14, 57, 6, 3, 59, 4, 11]",5,ARM_CORTEX_A15,70.0,rand,classic,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[75, 41, 24, 14, 53, 77, 83, 75, 26, 20]",5,ARM_CORTEX_A15,10.0,rand,classic,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[23, 19, 0, 6, 21, 31, 44, 7, 4, 16]",5,ARM_CORTEX_A15,60.0,rand,classic,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[38, 16, 72, 22, 41, 82, 76, 9, 37, 47]",2,ARM_CORTEX_A15,90.0,center,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[56, 73, 9, 77, 78, 26, 1, 40, 68, 56]",2,ARM_CORTEX_A15,0.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[83, 75, 37, 31, 8, 76, 29, 0, 64, 20]",2,ARM_CORTEX_A15,80.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[77, 83, 41, 6, 13, 55, 39, 6, 12, 61]",2,ARM_CORTEX_A15,0.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[7, 78, 52, 71, 31, 50, 58, 60, 27, 25]",2,ARM_CORTEX_A15,0.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[31, 23, 72, 60, 54, 28, 50, 38, 61, 18]",2,ARM_CORTEX_A15,90.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[12, 6, 43, 64, 13, 22, 38, 18, 50, 13]",2,ARM_CORTEX_A15,70.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[58, 0, 81, 34, 2, 14, 73, 48, 59, 17]",2,ARM_CORTEX_A15,0.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[46, 51, 0, 26, 41, 38, 76, 35, 27, 6]",2,ARM_CORTEX_A15,60.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[38, 6, 76, 25, 81, 59, 20, 66, 53, 33]",2,ARM_CORTEX_A15,0.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[12, 44, 29, 57, 52, 73, 82, 1, 5, 57]",2,ARM_CORTEX_A15,60.0,rand,representation,13343ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
