"","X","platform","representation.target_distortion","representation.extra_dimensions","representation","rel_distance","rel_runtime"
"65",65,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72251556310909,1.22170977593702
"66",66,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.64884618612474,1.05349463921206
"67",67,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.64884618612474,1.48655942542163
"68",68,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55223087493254,1.19492386869411
"69",69,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.92029109857773
"70",70,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.9163799698452
"71",71,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72586499203169,1.05475090764702
"72",72,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72251556310909,1.47296584507126
"73",73,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15961992720106,1.01297981927617
"74",74,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.9109276871332,1.78731444981132
"75",75,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72586499203169,1.08943843985965
"76",76,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.91346706201531,1.11222654368838
"77",77,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.16941162363039
"78",78,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15349574781915,1.24680643735382
"79",79,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55781931962046,1.83953652174627
"80",80,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72251556310909,1.55078205058108
"81",81,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.13613528142756
"82",82,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23075370258538,1.00138586324471
"83",83,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15649789467162,2.04476754039782
"84",84,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.00076543830379
"85",85,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.22286494832668,1.90178039532766
"86",86,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72586499203169,1.2156759872521
"87",87,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15349574781915,1.00486645503453
"88",88,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.2304394048748,1.07521004558449
"89",89,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.22673306866413,1.51228357507841
"90",90,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.65355119396733,1.10090433711553
"91",91,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15949787470405,1.37790113283946
"92",92,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24631731981045,1.02195270848046
"93",93,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.71902661018053,1.17050011781883
"94",94,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23461238914758,1.90659339893879
"95",95,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23461238914758,1.32738991479058
"96",96,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.76372419600032
"97",97,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15961992720106,1.21117033391337
"98",98,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15949787470405,1.96927460664868
"99",99,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72600124905346,1.91800094720713
"100",100,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24631731981045,1.90404008651369
"101",101,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16261765719914,1.46158349601552
"102",102,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.66331754015974,1.97860702464614
"103",103,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.22673306866413,1.37177196774777
"104",104,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55223087493254,1.11074251326358
"105",105,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73282685368132,1.06454264268305
"106",106,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.63921865447545,1.03036653597121
"107",107,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.9539628158813
"108",108,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15649789467162,1.33130653458725
"109",109,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.13943774233929
"110",110,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23862324119147,1.21590002027447
"111",111,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73964000021135,1.65992987626117
"112",112,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.05991631647824
"113",113,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.2383097072677,1.22397876379398
"114",114,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.54937828151612,1.0262127708145
"115",115,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.64903784171692,1.0925886232457
"116",116,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23461238914758,1.00727409471786
"117",117,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72251556310909,1.61738318054141
"118",118,"exynos",1.001,FALSE,"MetricSpaceEmbedding",5.25000253042132,1.91443334152065
"119",119,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24247256266625,1.99857007268338
"120",120,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.71902661018053,1.09087732577474
"121",121,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55223087493254,1.90414339876423
"122",122,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24631731981045,1.54925914352011
"123",123,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55781931962046,1.0163475041047
"124",124,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73616703866707,1.53743190574103
"125",125,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24631731981045,1.91370330605059
"126",126,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.22657572781269,1.69404606038597
"127",127,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23862324119147,1.64871783395888
"128",128,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.91346706201531,1.04452140633434
"129",129,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72251556310909,1.25397933114656
"130",130,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.54937828151612,1.2526271071163
"131",131,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,2.69322292840435
"132",132,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73282685368132,1.03839948221894
"133",133,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23846647802396,1.91852915114008
"134",134,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.64394079498559,1.21907470658387
"135",135,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72586499203169,1.62794588224993
"136",136,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.66350815445029,1.49476600338292
"137",137,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55497022602201,1.394699874681
"138",138,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55497022602201,1.99874360374558
"139",139,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55211934922498,1.10503318516702
"140",140,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.54663556127745,1.13645477773695
"141",141,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72921141263205,1.14596042543223
"142",142,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.54663556127745,1.12483259657501
"143",143,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55781931962046,1.02054673322667
"144",144,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15649789467162,1.10070611234452
"145",145,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24247256266625,1.89283453260204
"146",146,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.65374250975978,1.45843551268938
"147",147,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.78288310164766
"148",148,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23461238914758,1.04759346351986
"149",149,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24631731981045,1.67949270732235
"150",150,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73269084581937,1.07252741861532
"151",151,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.30237871997882
"152",152,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72251556310909,1.20028465571927
"153",153,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73269084581937,2.88235923727681
"154",154,"exynos",1.001,FALSE,"MetricSpaceEmbedding",1.91647914671713,1.26277580817545
"155",155,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.08301791708256
"156",156,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.65843885191366,1.90371713248696
"157",157,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23059655755226,1.04460253585962
"158",158,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.68125697364682
"159",159,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.1504914294447,1.59886017104293
"160",160,"exynos",1.001,FALSE,"MetricSpaceEmbedding",1.89658469015421,1.76749484002235
"161",161,"exynos",1.001,FALSE,"MetricSpaceEmbedding",1.9099592923787,1.08393845949901
"162",162,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15349574781915,1.01993119711594
"163",163,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.0013367050856
"164",164,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.9109276871332,1.78763698800949
"165",165,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23862324119147,1.47116439922641
"166",166,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55781931962046,1.04296803828455
"167",167,"exynos",1.001,FALSE,"MetricSpaceEmbedding",1.9229768956125,1.02521700095626
"168",168,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.55364780840717
"169",169,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.1627396182234,1.90532427583878
"170",170,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16261765719914,1.25594320241108
"171",171,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73964000021135,1.09170022385861
"172",172,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15961992720106,1.48298064954246
"173",173,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15649789467162,1.24264847394861
"174",174,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72921141263205,1.19149658854348
"175",175,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.6631269122259,1.00382612927644
"176",176,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15961992720106,1.05562459933859
"177",177,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.71902661018053,1.53838795836118
"178",178,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15949787470405,1.144063353431
"179",179,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72586499203169,1.06588580423876
"180",180,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55497022602201,2.44709304029638
"181",181,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.63941100915182,1.17912323798162
"182",182,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.1627396182234,2.65771580881481
"183",183,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.64903784171692,1.0081642675156
"184",184,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,3.31621188186755
"185",185,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.49914874767698
"186",186,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15349574781915,1.92917691054222
"187",187,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.94382328360011
"188",188,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16261765719914,1.9143603840002
"189",189,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.22657572781269,1.1223045599629
"190",190,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73269084581937,1.64444109535631
"191",191,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55781931962046,2.76365401356348
"192",192,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24247256266625,2.01672463277363
"193",193,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.01777360804912
"194",194,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.66799702791821,1.79523224908962
"195",195,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.64884618612474,1.21237542797891
"196",196,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.1627396182234,1.77208026565109
"197",197,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23461238914758,1.51144571262682
"198",198,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.54937828151612,1.90537474506867
"199",199,"exynos",1.001,FALSE,"MetricSpaceEmbedding",1.92350484253636,1.78908245862166
"200",200,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73616703866707,1.70286430824952
"201",201,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72251556310909,1.43633834689914
"202",202,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.91610839586231,1.76598785013623
"203",203,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72600124905346,3.00798473199468
"204",204,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16261765719914,2.92679028331587
"205",205,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24247256266625,1.02123427361398
"206",206,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.91346706201531,1.31956626464095
"207",207,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.91610839586231,2.37590108571268
"208",208,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.22657572781269,1.64877657267735
"209",209,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23461238914758,1.05458840055182
"210",210,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23445543158758,1.58972915540815
"211",211,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15949787470405,2.01193920428044
"212",212,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73282685368132,1.01110703321632
"213",213,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.91346706201531,1.38305140692715
"214",214,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.1627396182234,1.51265301869102
"215",215,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24631731981045,1.07718483981965
"216",216,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.21883446060748,2.02298545694342
"217",217,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15662003525825,1.06108668596704
"218",218,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.67285826996849,1.78981142714949
"219",219,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73616703866707,1.54851003214545
