kpn,log_level,platform,mapping,trace,type,design_centering.perturbation.perturbation_type,passed,threshold,representation,random_seed
hog,ERROR,exynos,"[2, 2, 6, 6, 7, 5, 0, 5, 0, 7]",slx_default,rand,classic,100.0,1284ms,SimpleVector,3
hog,ERROR,exynos,"[0, 5, 3, 0, 2, 1, 7, 0, 7, 0]",slx_default,rand,classic,100.0,1284ms,SimpleVector,3
hog,ERROR,exynos,"[7, 5, 5, 0, 3, 6, 5, 6, 2, 1]",slx_default,rand,classic,60.0,1284ms,SimpleVector,3
hog,ERROR,exynos,"[1, 7, 4, 7, 2, 1, 3, 0, 5, 6]",slx_default,rand,classic,100.0,1284ms,SimpleVector,3
hog,ERROR,exynos,"[5, 6, 4, 5, 1, 0, 5, 4, 0, 7]",slx_default,center,representation,100.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[5, 4, 5, 3, 0, 7, 1, 2, 0, 2]",slx_default,rand,representation,80.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[6, 7, 0, 3, 1, 0, 2, 7, 5, 0]",slx_default,rand,representation,60.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[4, 0, 5, 6, 1, 5, 6, 6, 3, 0]",slx_default,rand,representation,90.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[0, 6, 6, 3, 4, 7, 7, 1, 2, 6]",slx_default,rand,representation,100.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[5, 1, 4, 3, 5, 1, 0, 7, 7, 4]",slx_default,rand,representation,80.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[3, 4, 1, 6, 7, 1, 6, 2, 7, 5]",slx_default,rand,representation,100.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[1, 0, 0, 5, 1, 1, 7, 4, 7, 0]",slx_default,rand,representation,80.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[4, 3, 1, 2, 5, 1, 0, 5, 5, 0]",slx_default,rand,representation,60.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[3, 2, 7, 1, 0, 0, 0, 4, 3, 5]",slx_default,rand,representation,20.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[3, 2, 5, 6, 5, 5, 1, 2, 0, 6]",slx_default,rand,representation,90.0,1284ms,MetricSpaceEmbedding,7
hog,ERROR,exynos,"[7, 6, 4, 7, 5, 5, 5, 7, 1, 7]",slx_default,center,classic,100.0,1284ms,MetricSpaceEmbedding,9
hog,ERROR,exynos,"[1, 2, 1, 4, 2, 4, 5, 2, 7, 1]",slx_default,rand,classic,10.0,1284ms,MetricSpaceEmbedding,9
hog,ERROR,exynos,"[4, 7, 0, 4, 7, 6, 6, 7, 5, 4]",slx_default,rand,classic,100.0,1284ms,MetricSpaceEmbedding,9
hog,ERROR,exynos,"[7, 4, 6, 2, 3, 3, 2, 1, 3, 5]",slx_default,rand,classic,70.0,1284ms,MetricSpaceEmbedding,9
hog,ERROR,exynos,"[6, 6, 0, 0, 2, 2, 5, 6, 2, 7]",slx_default,rand,classic,40.0,1284ms,MetricSpaceEmbedding,9
hog,ERROR,exynos,"[4, 5, 6, 5, 1, 1, 3, 0, 6, 3]",slx_default,rand,classic,100.0,1284ms,MetricSpaceEmbedding,9
hog,ERROR,exynos,"[6, 1, 5, 7, 5, 6, 5, 7, 5, 5]",slx_default,rand,classic,100.0,1284ms,MetricSpaceEmbedding,9
hog,ERROR,exynos,"[3, 7, 2, 6, 6, 5, 6, 6, 7, 0]",slx_default,rand,classic,100.0,1284ms,MetricSpaceEmbedding,9
hog,ERROR,exynos,"[3, 7, 2, 6, 1, 0, 2, 4, 4, 4]",slx_default,rand,classic,90.0,1284ms,MetricSpaceEmbedding,9
hog,ERROR,exynos,"[7, 1, 3, 2, 6, 4, 0, 1, 4, 4]",slx_default,rand,classic,100.0,1284ms,MetricSpaceEmbedding,9
hog,ERROR,exynos,"[1, 5, 0, 0, 2, 6, 7, 4, 1, 6]",slx_default,rand,classic,100.0,1284ms,MetricSpaceEmbedding,9
