"","number_of_ues","rb","rb_per_ue","count"
"1",1,1,1,1393
"2",1,2,2,1086
"3",1,3,3,1192
"4",1,4,4,708132
"5",1,5,5,1979
"6",1,6,6,3707
"7",1,7,4,2
"8",1,7,7,8006
"9",1,8,8,70423
"10",1,9,9,22492
"11",1,10,6,1
"12",1,10,10,28389
"13",1,11,9,1
"14",1,11,11,34596
"15",1,12,12,81214
"16",1,13,9,2
"17",1,13,13,20759
"18",1,14,10,6
"19",1,14,14,13663
"20",1,15,11,7
"21",1,15,15,7042
"22",1,16,12,6
"23",1,16,16,34019
"24",1,17,13,1
"25",1,17,17,1813
"26",1,18,18,998
"27",1,19,10,1
"28",1,19,11,3
"29",1,19,15,1
"30",1,19,19,969
"31",1,20,20,33970
"32",1,21,21,1158
"33",1,22,22,1160
"34",1,23,23,1098
"35",1,24,14,3
"36",1,24,24,13144
"37",1,25,21,1
"38",1,25,25,1149
"39",1,26,26,1107
"40",1,27,23,2
"41",1,27,27,1619
"42",1,28,24,3
"43",1,28,28,29781
"44",1,29,20,1
"45",1,29,29,980
"46",1,30,18,1
"47",1,30,20,1
"48",1,30,30,1216
"49",1,31,27,1
"50",1,31,31,1064
"51",1,32,20,1
"52",1,32,28,5
"53",1,32,32,16648
"54",1,33,33,1110
"55",1,34,25,1
"56",1,34,30,1
"57",1,34,34,1199
"58",1,35,31,1
"59",1,35,35,1734
"60",1,36,20,1
"61",1,36,32,3
"62",1,36,36,37146
"63",1,37,37,2057
"64",1,38,38,1081
"65",1,39,39,2144
"66",1,40,36,2
"67",1,40,40,26901
"68",1,41,41,1196
"69",1,42,38,1
"70",1,42,42,416
"71",1,43,39,1
"72",1,43,43,399
"73",1,44,24,1
"74",1,44,28,1
"75",1,44,31,1
"76",1,44,40,3
"77",1,44,44,44162
"78",1,45,41,1
"79",1,45,45,317
"80",1,46,24,1
"81",1,46,46,315
"82",1,47,47,785
"83",1,48,44,3
"84",1,48,48,43017
"85",1,49,49,460
"86",1,50,28,1
"87",1,50,36,1
"88",1,50,50,531
"89",1,51,51,304
"90",1,52,32,1
"91",1,52,48,4
"92",1,52,52,43459
"93",1,53,53,266
"94",1,54,54,523
"95",1,55,55,254
"96",1,56,48,1
"97",1,56,52,6
"98",1,56,56,39239
"99",1,57,44,1
"100",1,57,57,277
"101",1,58,54,1
"102",1,58,58,216
"103",1,59,48,1
"104",1,59,59,358
"105",1,60,44,1
"106",1,60,48,1
"107",1,60,56,1
"108",1,60,60,31215
"109",1,61,48,1
"110",1,61,61,320
"111",1,62,62,321
"112",1,63,63,365
"113",1,64,36,1
"114",1,64,60,4
"115",1,64,64,20847
"116",1,65,61,2
"117",1,65,65,366
"118",1,66,66,290
"119",1,67,67,238
"120",1,68,64,4
"121",1,68,68,16967
"122",1,69,69,265
"123",1,70,60,1
"124",1,70,70,536
"125",1,71,60,1
"126",1,71,67,1
"127",1,71,71,571
"128",1,72,44,1
"129",1,72,68,1
"130",1,72,72,9556
"131",1,73,60,1
"132",1,73,73,315
"133",1,74,74,487
"134",1,75,75,277
"135",1,76,52,1
"136",1,76,72,4
"137",1,76,76,10555
"138",1,77,64,1
"139",1,77,77,408
"140",1,78,78,219
"141",1,79,79,166
"142",1,80,48,1
"143",1,80,64,1
"144",1,80,80,15046
"145",1,81,81,147
"146",1,82,68,1
"147",1,82,82,179
"148",1,83,83,84
"149",1,84,60,1
"150",1,84,64,2
"151",1,84,72,1
"152",1,84,84,34159
"153",1,85,56,1
"154",1,85,85,95
"155",1,86,86,63
"156",1,87,87,679
"157",1,88,44,1
"158",1,88,52,1
"159",1,88,84,1
"160",1,88,88,19558
"161",1,89,80,1
"162",1,89,89,41
"163",1,90,90,43
"164",1,91,91,67
"165",1,92,60,1
"166",1,92,64,1
"167",1,92,80,1
"168",1,92,84,1
"169",1,92,88,1
"170",1,92,92,129099
"171",1,93,93,29
"172",1,94,94,18
"173",1,95,95,16
"174",1,96,88,1
"175",1,96,96,22399
"176",1,97,84,1
"177",1,97,97,25
"178",1,98,88,1
"179",1,98,98,6
"180",1,99,99,6
"181",1,100,100,204050
"182",1,102,92,1
"183",1,104,84,1
"184",1,105,92,1
"185",1,107,96,1
"186",1,109,100,1
"187",1,110,100,2
"188",1,112,68,1
"189",1,112,88,1
"190",1,112,100,3
"191",1,114,84,1
"192",1,114,100,1
"193",1,116,92,1
"194",1,116,96,1
"195",1,118,92,1
"196",1,120,100,1
"197",1,122,92,1
"198",1,124,92,1
"199",1,124,100,2
"200",1,132,80,1
"201",1,132,92,1
"202",1,132,100,1
"203",1,136,76,1
"204",1,140,72,1
"205",1,144,92,1
"206",1,144,100,2
"207",1,146,100,1
"208",1,148,100,1
"209",1,152,96,1
"210",1,155,92,1
"211",1,156,100,1
"212",1,160,88,1
"213",1,160,100,1
"214",1,170,92,1
"215",2,4,3,1
"216",2,5,3,6
"217",2,5,4,1307
"218",2,6,3,3
"219",2,6,4,932
"220",2,6,5,3
"221",2,7,4,733
"222",2,7,5,1
"223",2,7,6,3
"224",2,8,4,58162
"225",2,8,5,1
"226",2,8,6,7
"227",2,8,7,8
"228",2,9,5,966
"229",2,9,6,4
"230",2,9,7,15
"231",2,9,8,125
"232",2,10,5,8
"233",2,10,6,1829
"234",2,10,7,8
"235",2,10,8,98
"236",2,10,9,21
"237",2,11,6,7
"238",2,11,7,3075
"239",2,11,8,96
"240",2,11,9,25
"241",2,11,10,40
"242",2,12,6,9
"243",2,12,7,23
"244",2,12,8,17031
"245",2,12,9,33
"246",2,12,10,34
"247",2,12,11,54
"248",2,13,7,35
"249",2,13,8,129
"250",2,13,9,8510
"251",2,13,10,28
"252",2,13,11,39
"253",2,13,12,108
"254",2,14,7,47
"255",2,14,8,192
"256",2,14,9,42
"257",2,14,10,10879
"258",2,14,11,47
"259",2,14,12,119
"260",2,14,13,31
"261",2,15,8,382
"262",2,15,9,95
"263",2,15,10,77
"264",2,15,11,12076
"265",2,15,12,118
"266",2,15,13,28
"267",2,15,14,26
"268",2,16,8,1070
"269",2,16,9,216
"270",2,16,10,147
"271",2,16,11,73
"272",2,16,12,16414
"273",2,16,13,35
"274",2,16,14,16
"275",2,16,15,13
"276",2,17,9,1006
"277",2,17,10,242
"278",2,17,11,133
"279",2,17,12,132
"280",2,17,13,8171
"281",2,17,14,14
"282",2,17,15,11
"283",2,17,16,49
"284",2,18,9,267
"285",2,18,10,1320
"286",2,18,11,275
"287",2,18,12,247
"288",2,18,13,45
"289",2,18,14,5277
"290",2,18,15,7
"291",2,18,16,44
"292",2,18,17,1
"293",2,19,10,734
"294",2,19,11,1391
"295",2,19,12,519
"296",2,19,13,92
"297",2,19,14,39
"298",2,19,15,3150
"299",2,19,16,36
"300",2,19,17,1
"301",2,19,18,3
"302",2,20,10,466
"303",2,20,11,782
"304",2,20,12,2221
"305",2,20,13,191
"306",2,20,14,55
"307",2,20,15,18
"308",2,20,16,5373
"309",2,20,17,1
"310",2,20,19,1
"311",2,21,11,924
"312",2,21,12,1273
"313",2,21,13,969
"314",2,21,14,131
"315",2,21,15,21
"316",2,21,16,61
"317",2,21,17,976
"318",2,21,18,3
"319",2,21,19,2
"320",2,21,20,48
"321",2,22,11,564
"322",2,22,12,1709
"323",2,22,13,507
"324",2,22,14,656
"325",2,22,15,66
"326",2,22,16,114
"327",2,22,17,3
"328",2,22,18,613
"329",2,22,19,2
"330",2,22,20,44
"331",2,22,21,1
"332",2,23,10,1
"333",2,23,11,1
"334",2,23,12,1715
"335",2,23,13,627
"336",2,23,14,336
"337",2,23,15,349
"338",2,23,16,198
"339",2,23,17,10
"340",2,23,18,1
"341",2,23,19,705
"342",2,23,20,41
"343",2,23,21,2
"344",2,23,22,1
"345",2,24,10,1
"346",2,24,12,1333
"347",2,24,13,818
"348",2,24,14,392
"349",2,24,15,203
"350",2,24,16,892
"351",2,24,17,21
"352",2,24,18,9
"353",2,24,19,2
"354",2,24,20,4124
"355",2,24,23,3
"356",2,25,13,1266
"357",2,25,14,446
"358",2,25,15,230
"359",2,25,16,560
"360",2,25,17,100
"361",2,25,18,12
"362",2,25,19,3
"363",2,25,20,55
"364",2,25,21,896
"365",2,25,24,13
"366",2,26,12,1
"367",2,26,13,255
"368",2,26,14,802
"369",2,26,15,231
"370",2,26,16,702
"371",2,26,17,42
"372",2,26,18,52
"373",2,26,19,10
"374",2,26,20,115
"375",2,26,21,2
"376",2,26,22,722
"377",2,26,23,2
"378",2,26,24,15
"379",2,26,25,1
"380",2,27,14,307
"381",2,27,15,421
"382",2,27,16,786
"383",2,27,17,52
"384",2,27,18,32
"385",2,27,19,90
"386",2,27,20,251
"387",2,27,21,7
"388",2,27,22,1
"389",2,27,23,586
"390",2,27,24,10
"391",2,28,14,79
"392",2,28,15,175
"393",2,28,16,1099
"394",2,28,17,64
"395",2,28,18,31
"396",2,28,19,29
"397",2,28,20,831
"398",2,28,21,10
"399",2,28,22,3
"400",2,28,23,1
"401",2,28,24,3909
"402",2,28,25,2
"403",2,28,27,2
"404",2,29,15,113
"405",2,29,16,523
"406",2,29,17,131
"407",2,29,18,43
"408",2,29,19,36
"409",2,29,20,575
"410",2,29,21,95
"411",2,29,22,9
"412",2,29,23,5
"413",2,29,24,31
"414",2,29,25,642
"415",2,29,27,1
"416",2,29,28,36
"417",2,30,15,29
"418",2,30,16,328
"419",2,30,17,35
"420",2,30,18,74
"421",2,30,19,35
"422",2,30,20,826
"423",2,30,21,31
"424",2,30,22,88
"425",2,30,23,7
"426",2,30,24,45
"427",2,30,25,1
"428",2,30,26,782
"429",2,30,27,2
"430",2,30,28,33
"431",2,30,29,2
"432",2,31,15,1
"433",2,31,16,201
"434",2,31,17,33
"435",2,31,18,25
"436",2,31,19,82
"437",2,31,20,780
"438",2,31,21,38
"439",2,31,22,32
"440",2,31,23,74
"441",2,31,24,80
"442",2,31,25,1
"443",2,31,26,1
"444",2,31,27,799
"445",2,31,28,33
"446",2,31,29,2
"447",2,31,30,33
"448",2,32,16,160
"449",2,32,17,14
"450",2,32,18,23
"451",2,32,19,22
"452",2,32,20,967
"453",2,32,21,55
"454",2,32,22,45
"455",2,32,23,38
"456",2,32,24,554
"457",2,32,25,9
"458",2,32,26,4
"459",2,32,27,3
"460",2,32,28,3983
"461",2,32,29,3
"462",2,32,30,1
"463",2,33,13,2
"464",2,33,17,54
"465",2,33,18,7
"466",2,33,19,15
"467",2,33,20,542
"468",2,33,21,105
"469",2,33,22,46
"470",2,33,23,40
"471",2,33,24,222
"472",2,33,25,82
"473",2,33,26,8
"474",2,33,27,4
"475",2,33,28,46
"476",2,33,29,634
"477",2,33,30,1
"478",2,33,31,2
"479",2,33,32,21
"480",2,34,18,32
"481",2,34,19,5
"482",2,34,20,333
"483",2,34,21,43
"484",2,34,22,98
"485",2,34,23,36
"486",2,34,24,248
"487",2,34,25,31
"488",2,34,26,73
"489",2,34,27,9
"490",2,34,28,85
"491",2,34,29,6
"492",2,34,30,620
"493",2,34,31,1
"494",2,34,32,14
"495",2,34,33,2
"496",2,35,18,1
"497",2,35,19,63
"498",2,35,20,185
"499",2,35,21,26
"500",2,35,22,26
"501",2,35,23,69
"502",2,35,24,302
"503",2,35,25,46
"504",2,35,26,23
"505",2,35,27,86
"506",2,35,28,157
"507",2,35,29,5
"508",2,35,30,2
"509",2,35,31,716
"510",2,35,32,24
"511",2,35,33,2
"512",2,35,34,2
"513",2,36,18,1
"514",2,36,19,4
"515",2,36,20,312
"516",2,36,21,9
"517",2,36,22,20
"518",2,36,23,20
"519",2,36,24,468
"520",2,36,25,49
"521",2,36,26,42
"522",2,36,27,27
"523",2,36,28,683
"524",2,36,29,9
"525",2,36,30,6
"526",2,36,31,13
"527",2,36,32,5827
"528",2,36,33,2
"529",2,36,34,1
"530",2,36,35,1
"531",2,37,19,2
"532",2,37,20,43
"533",2,37,21,46
"534",2,37,22,5
"535",2,37,23,29
"536",2,37,24,193
"537",2,37,25,88
"538",2,37,26,54
"539",2,37,27,42
"540",2,37,28,408
"541",2,37,29,69
"542",2,37,30,15
"543",2,37,31,8
"544",2,37,32,30
"545",2,37,33,633
"546",2,37,34,1
"547",2,37,35,2
"548",2,37,36,45
"549",2,38,16,1
"550",2,38,20,35
"551",2,38,21,6
"552",2,38,22,48
"553",2,38,23,11
"554",2,38,24,124
"555",2,38,25,29
"556",2,38,26,83
"557",2,38,27,461
"558",2,38,28,552
"559",2,38,29,45
"560",2,38,30,66
"561",2,38,31,8
"562",2,38,32,53
"563",2,38,33,2
"564",2,38,34,709
"565",2,38,35,2
"566",2,38,36,50
"567",2,39,20,35
"568",2,39,21,1
"569",2,39,22,1
"570",2,39,23,44
"571",2,39,24,61
"572",2,39,25,21
"573",2,39,26,26
"574",2,39,27,116
"575",2,39,28,594
"576",2,39,29,48
"577",2,39,30,30
"578",2,39,31,75
"579",2,39,32,113
"580",2,39,33,2
"581",2,39,34,5
"582",2,39,35,652
"583",2,39,36,29
"584",2,39,37,1
"585",2,39,38,3
"586",2,40,20,98
"587",2,40,21,7
"588",2,40,22,1
"589",2,40,23,3
"590",2,40,24,223
"591",2,40,25,14
"592",2,40,26,15
"593",2,40,27,30
"594",2,40,28,808
"595",2,40,29,49
"596",2,40,30,39
"597",2,40,31,31
"598",2,40,32,723
"599",2,40,33,10
"600",2,40,34,4
"601",2,40,35,5
"602",2,40,36,7248
"603",2,40,38,1
"604",2,40,39,3
"605",2,41,21,35
"606",2,41,22,2
"607",2,41,23,1
"608",2,41,24,19
"609",2,41,25,30
"610",2,41,26,14
"611",2,41,27,21
"612",2,41,28,435
"613",2,41,29,91
"614",2,41,30,37
"615",2,41,31,40
"616",2,41,32,351
"617",2,41,33,84
"618",2,41,34,9
"619",2,41,35,8
"620",2,41,36,65
"621",2,41,37,687
"622",2,41,38,4
"623",2,41,40,52
"624",2,42,21,2
"625",2,42,22,24
"626",2,42,23,1
"627",2,42,24,20
"628",2,42,25,4
"629",2,42,26,62
"630",2,42,27,9
"631",2,42,28,260
"632",2,42,29,26
"633",2,42,30,72
"634",2,42,31,43
"635",2,42,32,440
"636",2,42,33,32
"637",2,42,34,94
"638",2,42,35,9
"639",2,42,36,135
"640",2,42,37,4
"641",2,42,38,725
"642",2,42,39,1
"643",2,42,40,39
"644",2,43,23,41
"645",2,43,24,6
"646",2,43,26,1
"647",2,43,27,26
"648",2,43,28,118
"649",2,43,29,16
"650",2,43,30,28
"651",2,43,31,74
"652",2,43,32,727
"653",2,43,33,37
"654",2,43,34,31
"655",2,43,35,88
"656",2,43,36,265
"657",2,43,37,2
"658",2,43,38,3
"659",2,43,39,927
"660",2,43,40,36
"661",2,43,41,1
"662",2,44,22,1
"663",2,44,23,4
"664",2,44,24,175
"665",2,44,25,2
"666",2,44,26,2
"667",2,44,27,3
"668",2,44,28,270
"669",2,44,29,4
"670",2,44,30,21
"671",2,44,31,30
"672",2,44,32,792
"673",2,44,33,43
"674",2,44,34,51
"675",2,44,35,30
"676",2,44,36,1104
"677",2,44,37,9
"678",2,44,38,5
"679",2,44,39,1
"680",2,44,40,10063
"681",2,45,23,3
"682",2,45,24,12
"683",2,45,25,37
"684",2,45,26,2
"685",2,45,28,49
"686",2,45,29,39
"687",2,45,30,14
"688",2,45,31,14
"689",2,45,32,305
"690",2,45,33,89
"691",2,45,34,33
"692",2,45,35,41
"693",2,45,36,687
"694",2,45,37,97
"695",2,45,38,21
"696",2,45,39,2
"697",2,45,40,63
"698",2,45,41,585
"699",2,45,44,51
"700",2,46,24,16
"701",2,46,25,4
"702",2,46,26,27
"703",2,46,27,2
"704",2,46,28,24
"705",2,46,29,5
"706",2,46,30,41
"707",2,46,31,21
"708",2,46,32,216
"709",2,46,33,28
"710",2,46,34,97
"711",2,46,35,59
"712",2,46,36,848
"713",2,46,37,47
"714",2,46,38,93
"715",2,46,39,11
"716",2,46,40,109
"717",2,46,41,3
"718",2,46,42,244
"719",2,46,43,1
"720",2,46,44,53
"721",2,47,24,15
"722",2,47,25,2
"723",2,47,26,1
"724",2,47,27,34
"725",2,47,28,26
"726",2,47,29,2
"727",2,47,30,7
"728",2,47,31,54
"729",2,47,32,129
"730",2,47,33,21
"731",2,47,34,32
"732",2,47,35,84
"733",2,47,36,898
"734",2,47,37,42
"735",2,47,38,32
"736",2,47,39,112
"737",2,47,40,246
"738",2,47,41,3
"739",2,47,42,1
"740",2,47,43,230
"741",2,47,44,69
"742",2,47,46,2
"743",2,48,24,58
"744",2,48,25,1
"745",2,48,27,1
"746",2,48,28,258
"747",2,48,29,1
"748",2,48,30,2
"749",2,48,31,5
"750",2,48,32,353
"751",2,48,33,9
"752",2,48,34,17
"753",2,48,35,28
"754",2,48,36,1399
"755",2,48,37,56
"756",2,48,38,39
"757",2,48,39,37
"758",2,48,40,1225
"759",2,48,41,13
"760",2,48,42,2
"761",2,48,44,12161
"762",2,49,25,14
"763",2,49,26,2
"764",2,49,28,46
"765",2,49,29,30
"766",2,49,30,1
"767",2,49,31,1
"768",2,49,32,31
"769",2,49,33,36
"770",2,49,34,7
"771",2,49,35,18
"772",2,49,36,655
"773",2,49,37,118
"774",2,49,38,50
"775",2,49,39,48
"776",2,49,40,551
"777",2,49,41,67
"778",2,49,42,4
"779",2,49,43,1
"780",2,49,44,109
"781",2,49,45,235
"782",2,49,46,1
"783",2,49,48,45
"784",2,50,20,1
"785",2,50,25,1
"786",2,50,26,24
"787",2,50,27,2
"788",2,50,28,27
"789",2,50,29,2
"790",2,50,30,32
"791",2,50,31,3
"792",2,50,32,19
"793",2,50,33,8
"794",2,50,34,48
"795",2,50,35,9
"796",2,50,36,515
"797",2,50,37,26
"798",2,50,38,104
"799",2,50,39,49
"800",2,50,40,788
"801",2,50,41,24
"802",2,50,42,33
"803",2,50,43,12
"804",2,50,44,168
"805",2,50,46,250
"806",2,50,47,1
"807",2,50,48,50
"808",2,50,49,1
"809",2,51,27,23
"810",2,51,28,28
"811",2,51,29,1
"812",2,51,30,1
"813",2,51,31,30
"814",2,51,32,21
"815",2,51,33,1
"816",2,51,34,3
"817",2,51,35,37
"818",2,51,36,212
"819",2,51,37,17
"820",2,51,38,26
"821",2,51,39,114
"822",2,51,40,862
"823",2,51,41,34
"824",2,51,42,13
"825",2,51,43,40
"826",2,51,44,324
"827",2,51,45,2
"828",2,51,46,2
"829",2,51,47,280
"830",2,51,48,50
"831",2,51,50,1
"832",2,52,26,1
"833",2,52,27,1
"834",2,52,28,159
"835",2,52,29,2
"836",2,52,30,3
"837",2,52,32,318
"838",2,52,34,2
"839",2,52,35,1
"840",2,52,36,515
"841",2,52,37,12
"842",2,52,38,16
"843",2,52,39,31
"844",2,52,40,1473
"845",2,52,41,33
"846",2,52,42,19
"847",2,52,43,10
"848",2,52,44,1583
"849",2,52,45,3
"850",2,52,46,1
"851",2,52,47,1
"852",2,52,48,13687
"853",2,52,49,1
"854",2,53,27,2
"855",2,53,28,27
"856",2,53,29,15
"857",2,53,31,1
"858",2,53,32,15
"859",2,53,33,44
"860",2,53,34,2
"861",2,53,35,3
"862",2,53,36,64
"863",2,53,37,51
"864",2,53,38,6
"865",2,53,39,17
"866",2,53,40,547
"867",2,53,41,81
"868",2,53,42,12
"869",2,53,43,19
"870",2,53,44,886
"871",2,53,45,26
"872",2,53,46,1
"873",2,53,48,94
"874",2,53,49,243
"875",2,53,51,1
"876",2,53,52,54
"877",2,54,28,27
"878",2,54,29,1
"879",2,54,30,13
"880",2,54,32,23
"881",2,54,34,17
"882",2,54,35,1
"883",2,54,36,35
"884",2,54,37,6
"885",2,54,38,30
"886",2,54,39,4
"887",2,54,40,399
"888",2,54,41,23
"889",2,54,42,29
"890",2,54,43,15
"891",2,54,44,1074
"892",2,54,45,8
"893",2,54,46,22
"894",2,54,47,2
"895",2,54,48,194
"896",2,54,50,385
"897",2,54,52,60
"898",2,54,53,1
"899",2,55,28,43
"900",2,55,29,3
"901",2,55,30,2
"902",2,55,31,12
"903",2,55,32,31
"904",2,55,33,1
"905",2,55,34,1
"906",2,55,35,34
"907",2,55,36,40
"908",2,55,37,1
"909",2,55,38,2
"910",2,55,39,80
"911",2,55,40,200
"912",2,55,41,16
"913",2,55,42,11
"914",2,55,43,34
"915",2,55,44,1297
"916",2,55,45,9
"917",2,55,46,11
"918",2,55,47,37
"919",2,55,48,319
"920",2,55,49,5
"921",2,55,50,1
"922",2,55,51,149
"923",2,55,52,58
"924",2,56,28,113
"925",2,56,29,3
"926",2,56,30,2
"927",2,56,31,1
"928",2,56,32,170
"929",2,56,33,2
"930",2,56,35,1
"931",2,56,36,481
"932",2,56,37,1
"933",2,56,39,3
"934",2,56,40,660
"935",2,56,41,9
"936",2,56,42,6
"937",2,56,43,15
"938",2,56,44,1987
"939",2,56,45,15
"940",2,56,46,7
"941",2,56,47,11
"942",2,56,48,1711
"943",2,56,49,2
"944",2,56,50,2
"945",2,56,52,13913
"946",2,56,54,1
"947",2,57,29,23
"948",2,57,32,24
"949",2,57,33,13
"950",2,57,36,56
"951",2,57,37,28
"952",2,57,40,50
"953",2,57,41,37
"954",2,57,42,3
"955",2,57,43,12
"956",2,57,44,856
"957",2,57,45,29
"958",2,57,46,9
"959",2,57,47,11
"960",2,57,48,994
"961",2,57,49,37
"962",2,57,50,6
"963",2,57,51,4
"964",2,57,52,84
"965",2,57,53,295
"966",2,57,54,1
"967",2,57,55,1
"968",2,57,56,59
"969",2,58,30,23
"970",2,58,31,2
"971",2,58,32,18
"972",2,58,33,2
"973",2,58,34,23
"974",2,58,35,1
"975",2,58,36,48
"976",2,58,37,2
"977",2,58,38,32
"978",2,58,40,44
"979",2,58,41,2
"980",2,58,42,9
"981",2,58,43,3
"982",2,58,44,536
"983",2,58,45,13
"984",2,58,46,36
"985",2,58,47,23
"986",2,58,48,1174
"987",2,58,49,14
"988",2,58,50,46
"989",2,58,51,5
"990",2,58,52,176
"991",2,58,53,1
"992",2,58,54,286
"993",2,58,55,1
"994",2,58,56,53
"995",2,59,31,59
"996",2,59,32,25
"997",2,59,33,3
"998",2,59,34,1
"999",2,59,35,13
"1000",2,59,36,33
"1001",2,59,37,1
"1002",2,59,38,5
"1003",2,59,39,35
"1004",2,59,40,43
"1005",2,59,43,17
"1006",2,59,44,268
"1007",2,59,45,8
"1008",2,59,46,5
"1009",2,59,47,37
"1010",2,59,48,1338
"1011",2,59,49,14
"1012",2,59,50,11
"1013",2,59,51,15
"1014",2,59,52,351
"1015",2,59,53,2
"1016",2,59,54,2
"1017",2,59,55,188
"1018",2,59,56,71
"1019",2,60,32,286
"1020",2,60,33,4
"1021",2,60,35,3
"1022",2,60,36,199
"1023",2,60,37,1
"1024",2,60,38,2
"1025",2,60,39,3
"1026",2,60,40,642
"1027",2,60,43,1
"1028",2,60,44,839
"1029",2,60,45,3
"1030",2,60,46,8
"1031",2,60,47,23
"1032",2,60,48,2084
"1033",2,60,49,19
"1034",2,60,50,15
"1035",2,60,51,7
"1036",2,60,52,1712
"1037",2,60,53,4
"1038",2,60,54,1
"1039",2,60,55,2
"1040",2,60,56,11615
"1041",2,61,31,2
"1042",2,61,32,18
"1043",2,61,33,30
"1044",2,61,34,2
"1045",2,61,35,2
"1046",2,61,36,50
"1047",2,61,37,14
"1048",2,61,40,47
"1049",2,61,41,31
"1050",2,61,44,87
"1051",2,61,45,12
"1052",2,61,46,2
"1053",2,61,47,9
"1054",2,61,48,862
"1055",2,61,49,25
"1056",2,61,50,16
"1057",2,61,51,9
"1058",2,61,52,940
"1059",2,61,53,24
"1060",2,61,54,4
"1061",2,61,55,2
"1062",2,61,56,68
"1063",2,61,57,152
"1064",2,61,59,1
"1065",2,61,60,42
"1066",2,62,30,1
"1067",2,62,31,1
"1068",2,62,32,24
"1069",2,62,33,1
"1070",2,62,34,31
"1071",2,62,35,1
"1072",2,62,36,40
"1073",2,62,37,1
"1074",2,62,38,14
"1075",2,62,39,3
"1076",2,62,40,47
"1077",2,62,42,9
"1078",2,62,43,2
"1079",2,62,44,57
"1080",2,62,46,14
"1081",2,62,47,2
"1082",2,62,48,676
"1083",2,62,49,9
"1084",2,62,50,64
"1085",2,62,51,20
"1086",2,62,52,1251
"1087",2,62,53,11
"1088",2,62,54,34
"1089",2,62,55,2
"1090",2,62,56,165
"1091",2,62,58,139
"1092",2,62,60,43
"1093",2,62,61,2
"1094",2,63,32,30
"1095",2,63,33,2
"1096",2,63,34,1
"1097",2,63,35,34
"1098",2,63,36,49
"1099",2,63,38,1
"1100",2,63,39,18
"1101",2,63,40,40
"1102",2,63,42,1
"1103",2,63,43,11
"1104",2,63,44,62
"1105",2,63,46,1
"1106",2,63,47,28
"1107",2,63,48,333
"1108",2,63,49,9
"1109",2,63,50,14
"1110",2,63,51,24
"1111",2,63,52,1419
"1112",2,63,53,10
"1113",2,63,54,9
"1114",2,63,55,21
"1115",2,63,56,292
"1116",2,63,57,4
"1117",2,63,58,1
"1118",2,63,59,223
"1119",2,63,60,46
"1120",2,63,61,1
"1121",2,64,32,111
"1122",2,64,33,1
"1123",2,64,34,2
"1124",2,64,35,2
"1125",2,64,36,419
"1126",2,64,37,2
"1127",2,64,40,249
"1128",2,64,41,1
"1129",2,64,44,806
"1130",2,64,48,926
"1131",2,64,49,5
"1132",2,64,50,11
"1133",2,64,51,6
"1134",2,64,52,2143
"1135",2,64,53,8
"1136",2,64,54,26
"1137",2,64,55,9
"1138",2,64,56,1426
"1139",2,64,57,5
"1140",2,64,58,2
"1141",2,64,59,1
"1142",2,64,60,8814
"1143",2,64,61,1
"1144",2,64,62,2
"1145",2,64,63,2
"1146",2,65,33,24
"1147",2,65,34,2
"1148",2,65,35,4
"1149",2,65,36,44
"1150",2,65,37,32
"1151",2,65,39,1
"1152",2,65,40,44
"1153",2,65,41,16
"1154",2,65,42,1
"1155",2,65,44,62
"1156",2,65,45,8
"1157",2,65,48,69
"1158",2,65,49,18
"1159",2,65,50,2
"1160",2,65,51,9
"1161",2,65,52,913
"1162",2,65,53,31
"1163",2,65,54,20
"1164",2,65,55,11
"1165",2,65,56,782
"1166",2,65,57,29
"1167",2,65,58,2
"1168",2,65,59,3
"1169",2,65,60,65
"1170",2,65,61,312
"1171",2,65,64,29
"1172",2,66,34,24
"1173",2,66,36,43
"1174",2,66,37,3
"1175",2,66,38,23
"1176",2,66,39,1
"1177",2,66,40,43
"1178",2,66,42,5
"1179",2,66,43,2
"1180",2,66,44,64
"1181",2,66,45,1
"1182",2,66,46,13
"1183",2,66,48,54
"1184",2,66,50,14
"1185",2,66,51,3
"1186",2,66,52,585
"1187",2,66,53,10
"1188",2,66,54,38
"1189",2,66,55,9
"1190",2,66,56,1090
"1191",2,66,57,7
"1192",2,66,58,12
"1193",2,66,59,2
"1194",2,66,60,110
"1195",2,66,61,3
"1196",2,66,62,220
"1197",2,66,63,1
"1198",2,66,64,25
"1199",2,67,35,34
"1200",2,67,36,48
"1201",2,67,37,2
"1202",2,67,38,2
"1203",2,67,39,30
"1204",2,67,40,28
"1205",2,67,43,8
"1206",2,67,44,56
"1207",2,67,47,12
"1208",2,67,48,49
"1209",2,67,50,1
"1210",2,67,51,16
"1211",2,67,52,291
"1212",2,67,53,3
"1213",2,67,54,18
"1214",2,67,55,20
"1215",2,67,56,1180
"1216",2,67,57,12
"1217",2,67,58,8
"1218",2,67,59,31
"1219",2,67,60,243
"1220",2,67,62,1
"1221",2,67,63,223
"1222",2,67,64,23
"1223",2,68,34,2
"1224",2,68,35,2
"1225",2,68,36,402
"1226",2,68,37,1
"1227",2,68,38,7
"1228",2,68,40,449
"1229",2,68,42,1
"1230",2,68,44,393
"1231",2,68,48,1012
"1232",2,68,49,11
"1233",2,68,51,2
"1234",2,68,52,982
"1235",2,68,53,4
"1236",2,68,54,8
"1237",2,68,55,4
"1238",2,68,56,1880
