tgff,platform,trace,mapper,log_level,kpn,best_mapping_time,representation,estimated_total_time
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.01621,SymmetryEmbedding,0.23199820518493652
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,7397.628001,MetricSpaceEmbedding,6.483948230743408
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.031571428,Symmetries,0.1679985523223877
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.010714286,SymmetryEmbedding,0.19199848175048828
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,400.0010005,MetricSpaceEmbedding,6.063951015472412
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.010714286,SimpleVector,0.17999863624572754
"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,737.6470505,SymmetryEmbedding,603.6232151985168
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,411.2554505,SymmetryEmbedding,602.9512305259705
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.021782,SymmetryEmbedding,0.2279982566833496
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,3.525786213,Symmetries,0.1679987907409668
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,3.349883333,MetricSpaceEmbedding,0.6119949817657471
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.006809857,SimpleVector,0.16399860382080078
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.249641855,Symmetries,0.1719987392425537
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,3334.7025505,MetricSpaceEmbedding,8.63593864440918
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.01621,Symmetries,0.1999983787536621
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,3.349883333,Symmetries,0.35599684715270996
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.010714286,Symmetries,0.1679987907409668
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.057150499,SimpleVector,0.16399884223937988
"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,737.6470505,SimpleVector,8.279934406280518
"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,737.6470505,MetricSpaceEmbedding,7.25194239616394
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,6.688266666,Symmetries,0.35599660873413086
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.057150499,SymmetryEmbedding,0.1959984302520752
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,417.5032285,MetricSpaceEmbedding,7.399942874908447
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.057150499,SymmetryEmbedding,0.1999983787536621
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,1.318309,Symmetries,0.19199848175048828
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,417.5032285,SimpleVector,8.363935232162476
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.024569214,MetricSpaceEmbedding,0.18399858474731445
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,tgff_reader,gbm,ERROR,tgff_reader,2.6290495,SymmetryEmbedding,0.2239983081817627
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.037469,SimpleVector,0.19199848175048828
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,gbm,ERROR,tgff_reader,2.022567,MetricSpaceEmbedding,0.21599841117858887
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,14.206421665,Symmetries,0.35599708557128906
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.005300001,Symmetries,0.1679987907409668
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,tgff_reader,gbm,ERROR,tgff_reader,6.2961255,SymmetryEmbedding,0.2239983081817627
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.012285713,SimpleVector,0.15999889373779297
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,14.206421665,MetricSpaceEmbedding,0.6119952201843262
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.249641855,MetricSpaceEmbedding,0.18399834632873535
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.0080765,SimpleVector,0.18799853324890137
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,0.0005065,Symmetries,0.623995304107666
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,10.028099999,Symmetries,0.4839961528778076
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.024642857,MetricSpaceEmbedding,0.21999835968017578
"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.3058135,SimpleVector,0.18399834632873535
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,438.8527615,SymmetryEmbedding,605.1382441520691
