mapper,best_mapping_time,kpn,tgff,platform,estimated_total_time,trace,log_level
static_cfs,0.012285713,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,0.4799964427947998,tgff_reader,ERROR
gbm,0.01621,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,0.45999646186828613,tgff_reader,ERROR
gbm,0.021782,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,0.45999646186828613,tgff_reader,ERROR
gbm,0.008264,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,0.46799635887145996,tgff_reader,ERROR
static_cfs,13.337970832,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,0.5799953937530518,tgff_reader,ERROR
static_cfs,6.674766666,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,0.5359957218170166,tgff_reader,ERROR
gbm,0.024642857,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",exynos,0.4759964942932129,tgff_reader,ERROR
static_cfs,0.008614284,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,0.40399694442749023,tgff_reader,ERROR
gbm,0.0005065,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,1.091991662979126,tgff_reader,ERROR
static_cfs,0.254631223,tgff_reader,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,0.4719963073730469,tgff_reader,ERROR
static_cfs,0.249641855,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,0.40799689292907715,tgff_reader,ERROR
gbm,400.0010005,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",mppa_coolidge,14.847885370254517,tgff_reader,ERROR
gbm,2.6290495,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,0.4519965648651123,tgff_reader,ERROR
gbm,2.0075735,tgff_reader,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,0.4759964942932129,tgff_reader,ERROR
static_cfs,10.038099999,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,0.6359951496124268,tgff_reader,ERROR
static_cfs,0.024569214,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",exynos,0.3999969959259033,tgff_reader,ERROR
gbm,2154.71693,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,16.95986795425415,tgff_reader,ERROR
gbm,0.024642857,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",exynos,0.4799962043762207,tgff_reader,ERROR
static_cfs,20.800933332,tgff_reader,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,0.5559954643249512,tgff_reader,ERROR
gbm,417.5032285,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,16.319873094558716,tgff_reader,ERROR
static_cfs,26.006144331,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,0.567995548248291,tgff_reader,ERROR
static_cfs,13.897099999,tgff_reader,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,0.5439958572387695,tgff_reader,ERROR
gbm,2.022567,tgff_reader,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,0.49199628829956055,tgff_reader,ERROR
gbm,2909.730383833,tgff_reader,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,17.383864879608154,tgff_reader,ERROR
static_cfs,0.024569214,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",exynos,0.3999967575073242,tgff_reader,ERROR
gbm,1.318309,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,0.4799964427947998,tgff_reader,ERROR
static_cfs,0.033142855,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,0.3919968605041504,tgff_reader,ERROR
gbm,0.0080765,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",exynos,0.4559965133666992,tgff_reader,ERROR
static_cfs,0.031571428,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",exynos,0.3919968605041504,tgff_reader,ERROR
gbm,6.2961255,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,0.4559962749481201,tgff_reader,ERROR
gbm,0.01621,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,0.4719963073730469,tgff_reader,ERROR
gbm,0.024642857,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",exynos,0.4999961853027344,tgff_reader,ERROR
static_cfs,0.0065,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,0.5359959602355957,tgff_reader,ERROR
gbm,0.0015065,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,0.4799962043762207,tgff_reader,ERROR
static_cfs,10.007049999,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,0.6279950141906738,tgff_reader,ERROR
static_cfs,0.005300001,tgff_reader,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,1.2199904918670654,tgff_reader,ERROR
static_cfs,0.040499998,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,0.40799689292907715,tgff_reader,ERROR
gbm,403.334834333,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,15.20388150215149,tgff_reader,ERROR
gbm,3334.7025505,tgff_reader,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,18.647855043411255,tgff_reader,ERROR
static_cfs,0.054785713,tgff_reader,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,0.3919968605041504,tgff_reader,ERROR
gbm,0.0084,tgff_reader,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,0.4799964427947998,tgff_reader,ERROR
static_cfs,1.996571427,tgff_reader,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,0.41199684143066406,tgff_reader,ERROR
