mapping,log_level,passed,threshold,type,kpn,platform.processor_0.type,random_seed,platform,platform.name,representation,trace,design_centering.perturbation.perturbation_type,platform.processor_1.type
"[20, 54, 38, 18, 62, 13, 18, 83, 72, 3, 82, 6]",ERROR,10.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[39, 8, 63, 46, 24, 56, 25, 61, 74, 24, 15, 37]",ERROR,30.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[78, 57, 31, 48, 70, 0, 5, 1, 57, 43, 11, 66]",ERROR,40.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[28, 42, 53, 82, 18, 84, 80, 34, 7, 82, 21, 18]",ERROR,10.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[68, 45, 68, 58, 39, 12, 30, 34, 6, 17, 77, 75]",ERROR,30.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[2, 31, 43, 32, 54, 33, 78, 50, 24, 55, 1, 69]",ERROR,30.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[73, 51, 59, 42, 25, 40, 56, 26, 3, 34, 52, 81]",ERROR,10.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[19, 58, 15, 9, 59, 55, 70, 60, 54, 76, 42, 29]",ERROR,40.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[18, 72, 74, 18, 74, 34, 71, 49, 9, 72, 20, 23]",ERROR,20.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[37, 56, 70, 34, 28, 66, 59, 28, 36, 77, 74, 69]",ERROR,30.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[65, 29, 47, 62, 15, 38, 43, 50, 20, 50, 79, 36]",ERROR,100.0,50227ms,center,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[17, 43, 73, 21, 64, 2, 29, 9, 79, 43, 7, 75]",ERROR,90.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[64, 8, 52, 27, 65, 19, 5, 12, 32, 42, 75, 54]",ERROR,90.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[72, 6, 4, 79, 9, 1, 11, 52, 13, 19, 31, 65]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[61, 53, 47, 74, 0, 71, 84, 75, 13, 16, 25, 23]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[58, 30, 1, 75, 5, 80, 69, 54, 13, 12, 68, 2]",ERROR,100.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[75, 79, 84, 25, 9, 75, 66, 49, 20, 40, 42, 1]",ERROR,10.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[69, 31, 6, 6, 10, 14, 70, 58, 72, 3, 77, 39]",ERROR,80.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[27, 11, 31, 29, 84, 59, 21, 2, 83, 21, 51, 4]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[7, 45, 10, 2, 30, 74, 0, 73, 34, 4, 16, 10]",ERROR,60.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[6, 31, 50, 70, 43, 40, 15, 10, 20, 14, 49, 41]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[41, 15, 75, 23, 43, 81, 75, 8, 35, 48, 72, 47]",ERROR,60.0,50227ms,center,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[56, 40, 60, 74, 19, 48, 57, 1, 68, 68, 63, 16]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[72, 78, 35, 27, 46, 30, 75, 81, 42, 61, 50, 1]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[50, 72, 37, 54, 9, 52, 64, 29, 61, 34, 81, 19]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
