random_seed,threshold,passed,design_centering.perturbation.perturbation_type,kpn,trace,mapping,representation,type,log_level,platform
2,34.9ms,30.0,representation,speaker_recognition,slx_default,"[3, 1, 3, 2, 6, 4, 0, 3, 1, 7, 0, 3]",SimpleVector,rand,ERROR,exynos
2,34.9ms,10.0,representation,speaker_recognition,slx_default,"[1, 0, 7, 7, 0, 0, 3, 1, 6, 3, 0, 6]",SimpleVector,rand,ERROR,exynos
2,34.9ms,0.0,representation,speaker_recognition,slx_default,"[3, 7, 2, 3, 3, 3, 0, 6, 3, 2, 5, 3]",SimpleVector,rand,ERROR,exynos
2,34.9ms,10.0,representation,speaker_recognition,slx_default,"[1, 2, 4, 1, 2, 7, 5, 1, 4, 7, 2, 0]",SimpleVector,rand,ERROR,exynos
2,34.9ms,90.0,representation,speaker_recognition,slx_default,"[6, 5, 7, 3, 4, 0, 6, 2, 4, 6, 7, 2]",SimpleVector,rand,ERROR,exynos
2,34.9ms,0.0,representation,speaker_recognition,slx_default,"[1, 5, 2, 4, 1, 5, 6, 2, 4, 1, 0, 0]",SimpleVector,rand,ERROR,exynos
2,34.9ms,10.0,representation,speaker_recognition,slx_default,"[4, 2, 4, 0, 3, 1, 5, 2, 7, 5, 6, 1]",SimpleVector,rand,ERROR,exynos
2,34.9ms,80.0,representation,speaker_recognition,slx_default,"[6, 5, 4, 3, 6, 4, 7, 3, 5, 1, 4, 4]",SimpleVector,rand,ERROR,exynos
2,34.9ms,30.0,representation,speaker_recognition,slx_default,"[1, 1, 4, 5, 3, 3, 2, 6, 4, 6, 7, 4]",SimpleVector,rand,ERROR,exynos
2,34.9ms,0.0,representation,speaker_recognition,slx_default,"[6, 5, 2, 0, 2, 0, 6, 5, 1, 2, 1, 4]",SimpleVector,rand,ERROR,exynos
8,40.0ms,80.0,representation,speaker_recognition,slx_default,"[5, 1, 3, 6, 5, 5, 0, 1, 4, 3, 4, 6]",SimpleVector,center,ERROR,exynos
8,40.0ms,100.0,representation,speaker_recognition,slx_default,"[7, 0, 3, 5, 4, 6, 7, 1, 4, 6, 1, 0]",SimpleVector,rand,ERROR,exynos
8,40.0ms,60.0,representation,speaker_recognition,slx_default,"[7, 4, 0, 2, 4, 5, 7, 2, 0, 3, 6, 1]",SimpleVector,rand,ERROR,exynos
8,40.0ms,80.0,representation,speaker_recognition,slx_default,"[6, 6, 4, 5, 0, 6, 3, 6, 3, 7, 1, 3]",SimpleVector,rand,ERROR,exynos
8,40.0ms,20.0,representation,speaker_recognition,slx_default,"[0, 3, 1, 0, 6, 0, 0, 5, 1, 5, 3, 4]",SimpleVector,rand,ERROR,exynos
8,40.0ms,70.0,representation,speaker_recognition,slx_default,"[1, 2, 3, 6, 0, 5, 3, 0, 5, 0, 5, 1]",SimpleVector,rand,ERROR,exynos
8,40.0ms,0.0,representation,speaker_recognition,slx_default,"[6, 2, 6, 0, 2, 1, 1, 2, 7, 3, 4, 0]",SimpleVector,rand,ERROR,exynos
8,40.0ms,80.0,representation,speaker_recognition,slx_default,"[5, 2, 1, 7, 5, 7, 6, 0, 5, 1, 2, 5]",SimpleVector,rand,ERROR,exynos
8,40.0ms,100.0,representation,speaker_recognition,slx_default,"[7, 5, 6, 5, 4, 0, 4, 6, 7, 1, 2, 7]",SimpleVector,rand,ERROR,exynos
8,40.0ms,10.0,representation,speaker_recognition,slx_default,"[2, 7, 2, 0, 1, 4, 7, 6, 7, 0, 1, 3]",SimpleVector,rand,ERROR,exynos
8,40.0ms,0.0,representation,speaker_recognition,slx_default,"[1, 6, 0, 1, 2, 6, 1, 5, 2, 3, 7, 5]",SimpleVector,rand,ERROR,exynos
8,40.0ms,50.0,classic,speaker_recognition,slx_default,"[5, 5, 5, 4, 5, 7, 2, 1, 6, 5, 4, 5]",MetricSpaceEmbedding,center,ERROR,exynos
8,40.0ms,30.0,classic,speaker_recognition,slx_default,"[5, 2, 6, 3, 6, 4, 1, 3, 1, 4, 6, 3]",MetricSpaceEmbedding,rand,ERROR,exynos
8,40.0ms,20.0,classic,speaker_recognition,slx_default,"[3, 7, 3, 3, 2, 3, 3, 6, 1, 6, 0, 3]",MetricSpaceEmbedding,rand,ERROR,exynos
8,40.0ms,70.0,classic,speaker_recognition,slx_default,"[6, 6, 1, 6, 5, 6, 6, 5, 0, 5, 2, 3]",MetricSpaceEmbedding,rand,ERROR,exynos
8,40.0ms,40.0,classic,speaker_recognition,slx_default,"[3, 1, 1, 5, 5, 0, 1, 3, 4, 2, 5, 1]",MetricSpaceEmbedding,rand,ERROR,exynos
8,40.0ms,20.0,classic,speaker_recognition,slx_default,"[3, 2, 3, 3, 3, 0, 2, 0, 4, 7, 2, 7]",MetricSpaceEmbedding,rand,ERROR,exynos
8,40.0ms,20.0,classic,speaker_recognition,slx_default,"[6, 0, 1, 1, 1, 5, 3, 2, 5, 0, 1, 1]",MetricSpaceEmbedding,rand,ERROR,exynos
8,40.0ms,40.0,classic,speaker_recognition,slx_default,"[5, 1, 1, 6, 6, 0, 5, 3, 6, 3, 2, 7]",MetricSpaceEmbedding,rand,ERROR,exynos
8,40.0ms,80.0,classic,speaker_recognition,slx_default,"[6, 5, 6, 2, 5, 6, 2, 2, 5, 0, 5, 4]",MetricSpaceEmbedding,rand,ERROR,exynos
8,40.0ms,20.0,classic,speaker_recognition,slx_default,"[4, 6, 2, 2, 4, 3, 0, 2, 3, 4, 5, 4]",MetricSpaceEmbedding,rand,ERROR,exynos
8,40.0ms,60.0,classic,speaker_recognition,slx_default,"[0, 5, 4, 6, 1, 2, 1, 2, 6, 5, 0, 4]",MetricSpaceEmbedding,rand,ERROR,exynos
