trace,mappings_cached,estimated_total_time,representation_init_time,time_simulating,time_representation,mapper,processes_in_task,tgff,kpn,mappings_evaluated,platform,mapper.random_seed,representation,log_level,best_mapping_time
tgff_reader,0,1.7399835586547852,0.00019766949117183685,0.34631713699999994,0.11233277898281813,random_walk,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",tgff_reader,300,mppa_coolidge,2,SimpleVector,ERROR,12.104933333
tgff_reader,438,61.24747824668884,0.00020717084407806396,12.76781100500375,7.785377834748942,simulated_annealing,5,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",tgff_reader,9552,mppa_coolidge,8,SimpleVector,ERROR,410.002567999
tgff_reader,0,0.9119932651519775,0.0108341034501791,0.1257034469999999,0.6489003749993572,random_walk,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",tgff_reader,300,exynos,4,SymmetryEmbedding,ERROR,0.0017505
tgff_reader,225,1.2559900283813477,0.12284592352807522,0.050260296440683305,0.1973563457140699,genetic,4,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,46,mppa_coolidge,9,Symmetries,ERROR,12.505555999
tgff_reader,55,4.543968439102173,0.00918285921216011,0.12331900802382734,0.41902543399919523,genetic,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",tgff_reader,200,exynos,4,MetricSpaceEmbedding,ERROR,0.002001
tgff_reader,238,1.1799907684326172,0.12175601720809937,0.0367976090637967,0.1719137856271118,genetic,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,39,mppa_coolidge,7,Symmetries,ERROR,10.028099999
tgff_reader,0,599.3681390285492,596.1733788046986,0.7272774909999993,2.2172986479999963,random_walk,9,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,300,mppa_coolidge,2,SymmetryEmbedding,ERROR,1629.756099334
tgff_reader,4,0.32799744606018066,0.009116152301430702,0.0011757580014091218,0.009668772998338682,simulated_annealing,1,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,6,exynos,2,MetricSpaceEmbedding,ERROR,0.0015065
tgff_reader,141,0.4799952507019043,0.0014141425490379333,0.08168847598790308,0.05271167700448132,gradient_descent,5,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,89,exynos,2,Symmetries,ERROR,0.0139995
tgff_reader,0,0.8239929676055908,0.009165385738015175,0.11545159799999989,0.36384364199693664,random_walk,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",tgff_reader,300,exynos,2,MetricSpaceEmbedding,ERROR,0.0020005
tgff_reader,0,6.531931161880493,0.010164787992835045,0.14657509100834432,0.44215003800491104,simulated_annealing,5,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,138,exynos,5,SymmetryEmbedding,ERROR,0.210349759
tgff_reader,16,1.6479876041412354,0.010330576449632645,0.23462335099429765,0.8740788919994884,tabu_search,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,305,exynos,8,SymmetryEmbedding,ERROR,0.002571429
tgff_reader,63,1.4759883880615234,0.00016226060688495636,0.21051660866942257,0.18504303880035877,genetic,4,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,191,mppa_coolidge,10,SimpleVector,ERROR,409.168921666
tgff_reader,0,2.5039823055267334,0.3704238161444664,0.42792327200000013,1.0459283660165966,random_walk,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,300,mppa_coolidge,5,MetricSpaceEmbedding,ERROR,2158.4669795
tgff_reader,218,1.183990716934204,0.12304584495723248,0.04448925075121224,0.15151065739337355,genetic,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,47,mppa_coolidge,2,Symmetries,ERROR,10.018092999
tgff_reader,84,0.5279960632324219,7.063709199428558e-05,0.09855233499911265,0.028350117996524205,gradient_descent,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,143,exynos,6,SimpleVector,ERROR,0.002323
tgff_reader,24,1.3319878578186035,0.00015803612768650055,0.3157081841491163,0.19143933604937047,tabu_search,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,323,mppa_coolidge,10,SimpleVector,ERROR,406.678746666
tgff_reader,215,0.7519943714141846,0.0014138836413621902,0.039154773996415315,0.04677859700859699,genetic,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,58,exynos,7,Symmetries,ERROR,0.002571429
tgff_reader,194,0.6999940872192383,0.001473521813750267,0.1705912929992337,0.08788085799460532,gradient_descent,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,158,exynos,9,Symmetries,ERROR,0.012561715
tgff_reader,19,1.231992483139038,0.00016992166638374329,0.2922107297927141,0.16545135516207665,tabu_search,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",tgff_reader,292,mppa_coolidge,6,SimpleVector,ERROR,803.355462833
tgff_reader,0,2.107988119125366,0.00885104015469551,0.32417811800587515,0.5691648610036282,tabu_search,5,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",tgff_reader,321,exynos,7,MetricSpaceEmbedding,ERROR,0.004840824
tgff_reader,34241,716.9188735485077,596.7560951747,11.083289261977509,216.50826983600564,gradient_descent,6,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,3394,mppa_coolidge,10,SymmetryEmbedding,ERROR,16.669667665
