x,y,runtime,representation,representation.target_distortion,representation.extra_dimensions
-7.1928642134326655,12.536484141532492,45.288266641,MetricSpaceEmbedding,1.3,True
-5.774354390690977,10.595101316872372,42.960800286,MetricSpaceEmbedding,1.3,True
-6.394466748670898,10.773747307865694,39.676042851,MetricSpaceEmbedding,1.3,True
-8.949503024220627,10.788110928800252,76.484339498,MetricSpaceEmbedding,1.3,True
-8.283901472718822,11.54799561059655,70.28679671,MetricSpaceEmbedding,1.3,True
-7.2847808930096685,11.154550548020502,49.793755426,MetricSpaceEmbedding,1.3,True
-6.368726297788168,10.174571361945354,37.355664429,MetricSpaceEmbedding,1.3,True
-7.585930450795373,11.162211291103224,71.423784272,MetricSpaceEmbedding,1.3,True
-8.047771825153292,9.377194350335602,45.226457572,MetricSpaceEmbedding,1.3,True
-7.109646557057127,10.715221115709527,49.438158999,MetricSpaceEmbedding,1.3,True
-8.65800390228973,12.910813393526198,70.355013557,MetricSpaceEmbedding,1.3,True
-7.813842890384209,10.539264755321001,46.82291307,MetricSpaceEmbedding,1.3,True
-8.903883468855406,11.248872225822758,75.210373413,MetricSpaceEmbedding,1.3,True
-5.401991748574748,9.82849652186849,34.322156,MetricSpaceEmbedding,1.3,True
-4.909445365836008,9.180881543760698,36.8656965,MetricSpaceEmbedding,1.3,True
-8.535511966379072,10.29708017596638,40.827603786,MetricSpaceEmbedding,1.3,True
-8.402734666075194,10.65950791779736,45.696028356,MetricSpaceEmbedding,1.3,True
-8.100220095223609,11.251437759760336,74.181107557,MetricSpaceEmbedding,1.3,True
-6.927867133930454,12.533770434881491,41.028740357,MetricSpaceEmbedding,1.3,True
-7.20927321695437,10.181636792544952,45.285797929,MetricSpaceEmbedding,1.3,True
-5.506243950171824,10.52467163363348,41.838671078,MetricSpaceEmbedding,1.3,True
-8.573137250384136,11.428247052568388,46.382810284,MetricSpaceEmbedding,1.3,True
-8.363539213620037,11.972800100745198,37.065797997,MetricSpaceEmbedding,1.3,True
-8.057717021420215,12.319613805384709,44.175915285,MetricSpaceEmbedding,1.3,True
-9.218267607355978,11.769089078007214,47.783133567,MetricSpaceEmbedding,1.3,True
-6.099672218774947,10.747630410440141,74.185265413,MetricSpaceEmbedding,1.3,True
-7.549147477910848,11.171009202023127,42.070858287,MetricSpaceEmbedding,1.3,True
-7.833414908404355,9.780044712066788,70.299493141,MetricSpaceEmbedding,1.3,True
-8.342874028424166,11.3120138708692,38.649355996,MetricSpaceEmbedding,1.3,True
-7.041076052573825,9.763861765614713,72.192262568,MetricSpaceEmbedding,1.3,True
-6.25915969011786,9.305938725024285,35.688819643,MetricSpaceEmbedding,1.3,True
-7.462854811402873,9.696185469309295,50.7540225,MetricSpaceEmbedding,1.3,True
-8.140417132018065,9.391892179023145,47.723252283,MetricSpaceEmbedding,1.3,True
-5.138287575999865,10.487214701579004,40.88388422,MetricSpaceEmbedding,1.3,True
-9.1277825158439,12.278379876840278,70.355809273,MetricSpaceEmbedding,1.3,True
-6.488751552275833,10.240427704431236,39.487403426,MetricSpaceEmbedding,1.3,True
-5.897697674339477,10.72564792293897,39.645892353,MetricSpaceEmbedding,1.3,True
-6.908393491059528,12.306983527805615,71.428179991,MetricSpaceEmbedding,1.3,True
-7.300236459001507,10.909894070704564,47.720145995,MetricSpaceEmbedding,1.3,True
-7.227944189149173,10.168793256031044,46.824358643,MetricSpaceEmbedding,1.3,True
-8.622253506116481,12.179047558361718,47.783989854,MetricSpaceEmbedding,1.3,True
-5.599977359037748,11.270553678752123,39.830183928,MetricSpaceEmbedding,1.3,True
-7.9265740431630745,12.143831878660789,70.298381639,MetricSpaceEmbedding,1.3,True
-6.504181760968559,8.956924313643597,36.87451,MetricSpaceEmbedding,1.3,True
-6.4215046695635705,10.404055366152212,36.927217499,MetricSpaceEmbedding,1.3,True
-7.561248945888075,10.181208290631217,76.539233499,MetricSpaceEmbedding,1.3,True
-7.963320241514847,11.101234192994498,73.645687353,MetricSpaceEmbedding,1.3,True
-7.375721467490913,11.217783422852829,73.063157853,MetricSpaceEmbedding,1.3,True
-7.089924848388205,10.856075452680223,40.306931998,MetricSpaceEmbedding,1.3,True
-9.020653319456034,11.291492596702925,76.835826268,MetricSpaceEmbedding,1.3,True
-6.931441168092816,9.519057205425332,36.951004857,MetricSpaceEmbedding,1.3,True
-6.758569833935532,9.246073892179732,36.998367213,MetricSpaceEmbedding,1.3,True
-8.025414956134073,9.51783221740704,38.122962132,MetricSpaceEmbedding,1.3,True
-6.959569264278116,9.496080041053247,37.221339856,MetricSpaceEmbedding,1.3,True
-5.83600603000214,11.405144248887966,37.050221143,MetricSpaceEmbedding,1.3,True
