estimated_total_time,mapper.random_seed,tgff,log_level,best_mapping_time,kpn,platform,mapper,trace
6.459946870803833,1,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,10.022079999,tgff_reader,mppa_coolidge,genetic,tgff_reader
2.071983814239502,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",ERROR,0.001649,tgff_reader,exynos,tabu_search,tgff_reader
3.3039743900299072,10,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,0.003675903,tgff_reader,exynos,simulated_annealing,tgff_reader
1.2359905242919922,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",ERROR,0.002001,tgff_reader,exynos,simulated_annealing,tgff_reader
5.187960147857666,6,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,0.008928572,tgff_reader,exynos,genetic,tgff_reader
2.8079781532287598,4,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",ERROR,0.004357144,tgff_reader,exynos,simulated_annealing,tgff_reader
1.0159921646118164,9,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",ERROR,0.001649,tgff_reader,exynos,simulated_annealing,tgff_reader
9.619921445846558,10,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,426.672272167,tgff_reader,mppa_coolidge,random_walk,tgff_reader
8.311931848526001,9,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,1012.467599999,tgff_reader,mppa_coolidge,genetic,tgff_reader
20.783838033676147,2,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,1206.669762166,tgff_reader,mppa_coolidge,tabu_search,tgff_reader
2.7279787063598633,8,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",ERROR,0.002835734,tgff_reader,exynos,random_walk,tgff_reader
7.871934652328491,1,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,406.684788666,tgff_reader,mppa_coolidge,random_walk,tgff_reader
7.155940294265747,6,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,7923.8970505,tgff_reader,mppa_coolidge,random_walk,tgff_reader
7.311940431594849,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",ERROR,400.0010005,tgff_reader,mppa_coolidge,random_walk,tgff_reader
140.7348563671112,4,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",ERROR,13.342038832,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
8.907930850982666,2,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,41.669994167,tgff_reader,mppa_coolidge,random_walk,tgff_reader
3.1079764366149902,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,0.003718448,tgff_reader,exynos,random_walk,tgff_reader
0.931992769241333,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",ERROR,0.001649,tgff_reader,exynos,simulated_annealing,tgff_reader
2.067983865737915,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",ERROR,0.001649,tgff_reader,exynos,tabu_search,tgff_reader
7.199944257736206,6,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,436.669994168,tgff_reader,mppa_coolidge,random_walk,tgff_reader
5.955954074859619,1,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,0.00237,tgff_reader,exynos,tabu_search,tgff_reader
6.5199456214904785,9,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,0.0005065,tgff_reader,mppa_coolidge,random_walk,tgff_reader
3.9239699840545654,6,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,0.002571429,tgff_reader,exynos,genetic,tgff_reader
23.695802688598633,1,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,803.335435333,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
8.923925876617432,8,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,5265.402950001,tgff_reader,mppa_coolidge,random_walk,tgff_reader
0.8559935092926025,4,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",ERROR,0.001649,tgff_reader,exynos,simulated_annealing,tgff_reader
88.8992612361908,7,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,10.002052499,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
4.031968593597412,7,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,0.002773877,tgff_reader,exynos,genetic,tgff_reader
1.6479873657226562,1,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,0.002571429,tgff_reader,exynos,simulated_annealing,tgff_reader
91.15125274658203,7,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,410.002550499,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
147.1108078956604,7,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,410.836088332,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
2.083983898162842,5,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",ERROR,0.001649,tgff_reader,exynos,genetic,tgff_reader
4.5799641609191895,7,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",ERROR,0.022297702,tgff_reader,exynos,random_walk,tgff_reader
3.4359731674194336,6,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,0.214076825,tgff_reader,exynos,random_walk,tgff_reader
