name,principal_component_1
https-api-github-com-repos-mc-imperial-gvki-git-blobs-dec55914f1864ef08703cd6049b18d02a7ed636d.cl-B,-0.124442872
https-api-github-com-repos-WenhaoZhang-OpenCLInAction-git-blobs-7d3085c9ac5f46cf6077552a26aea616cf40a247.cl-A,-0.455359883
https-api-github-com-repos-caoyilun-project-git-blobs-dbaadf87863e42e8ad6014ad5502f81ee65b9736.cl-A,-0.083581888
https-api-github-com-repos-freedreno-freedreno-git-blobs-f3747c18a0d64f086432234d29481f337fc5c2d3.cl-A,-0.102768906
https-api-github-com-repos-caoyilun-project-git-blobs-205634d856778bb1c1a800f9e76200197ba7c656.cl-A,-0.119460565
https-api-github-com-repos-mdeklerk-cl-util-git-blobs-7e9e3a7f33dfbfd1ed71b6fe80704146eed64184.cl-A,-0.027971809
https-api-github-com-repos-caoyilun-project-git-blobs-4b75493c0697efec0a409752dc5b62d9e4085e14.cl-A,-0.148906118
https-api-github-com-repos-GPUOpen-LibrariesAndSDKs-FireRays_SDK-git-blobs-018d2ed4714770559cfaa3b46798153b797f734c.cl-AR,-0.329970526
https-api-github-com-repos-jeremyong-opencl_in_action-git-blobs-3380c76d3ea7744109b496bffddcc2374834c4df.cl-A,-0.633734575
https-api-github-com-repos-caoyilun-project-git-blobs-e20a76ff9b95cb3bb529ad8d7a80e1da313886e1.cl-E,-0.240854454
https-api-github-com-repos-amcelroy-OpenCLV-git-blobs-a797b83450ad7c0f054c46fe7d5c2e0157fd5576.cl-D,-0.065062131
https-api-github-com-repos-jeremyong-opencl_in_action-git-blobs-da13be1f0464b1f1f4343285d540d1ac5dfc4e69.cl-A,-0.102299227
https-api-github-com-repos-elima-gocl-git-blobs-7504064937ba460a90d72bfcbb54379170b48ebc.cl-A,-0.168311272
https-api-github-com-repos-InfiniteSearchSpace-PyCl-Convergence-git-blobs-1f3b57c087e4933a68011f764f2436c3276a5bb6.cl-A,0.222693664
https-api-github-com-repos-NVIDIA-cuda-gdb-git-blobs-13e9a12f4098624603dc9e5ff44226d25ca88b63.cl-A,-0.333965995
https-api-github-com-repos-hmazhar-opencl_example-git-blobs-d8352f8e668e5051b4a7521444ac189a40b89f3a.cl-A,-0.065242776
https-api-github-com-repos-InfiniteSearchSpace-PyCl-Convergence-git-blobs-68e9c4c0669070b88bf8f2fa3aa344e57961dcb5.cl-A,-0.047367134
https-api-github-com-repos-Multi2Sim-m2s-bench-amdsdk-2-5-src-git-blobs-c749e70d83eb8e341e8726f97d98a70f628f0e45.cl-A,-0.16306984
https-api-github-com-repos-hsyl20-Kernels-git-blobs-3d48e4541320a3bac2ef854c85eb2aec883f2adc.cl-A,-0.399022939
https-api-github-com-repos-clockfort-amd-app-sdk-fixes-git-blobs-a3eec856fa2d41e8d83914566140f36894b11221.cl-B,-0.242556271
https-api-github-com-repos-ovalerio-adventures_in_opencl-git-blobs-495112d03103806387d16e78683a47ed6ba13f7c.cl-A,-0.065446003
https-api-github-com-repos-eholk-opencl-stress-git-blobs-62cab619c36a42523ec8d6b431eea3458b87420a.cl-A,-0.04941332
https-api-github-com-repos-fakenmc-cf4ocl-git-blobs-e3b07b0216ae6035935074a169f1af38fcfbc64d.cl-A,-0.188387925
https-api-github-com-repos-Hedlundaren-vattenoverhuvudet-git-blobs-9cc1001994976751dbc996ae4a1f1ded19e77a6a.cl-C,-0.213559852
https-api-github-com-repos-HSAFoundation-CLOC-git-blobs-9a5108c1228defdb113932832516bb323815e114.cl-A,-0.084121003
https-api-github-com-repos-jeapostrophe-opencl-git-blobs-d61985be1c120a102ce3a31d1ab3edf635943128.cl-A,-0.072460061
https-api-github-com-repos-mdeklerk-cl-util-git-blobs-8e55de1065daf36f4d4ed39e02cc7b7f7a14c529.cl-A,-0.352982428
https-api-github-com-repos-ChiahungTai-adventures_in_opencl-git-blobs-cec42f556511fadb11016c3c8ad349adc84be521.cl-A,-0.083804873
https-api-github-com-repos-Tal500-bullet3-git-blobs-ded4796d337d9328a84024d4f2cdba4394384e10.cl-E,-0.317231523
https-api-github-com-repos-emrainey-OpenCL-Environment-git-blobs-4a783c71b5a3a4b53ece877f6ac83ee74cb69c99.cl-E,-0.055910294
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-fe6de28f9de0e94d9ae617fe119a658c2133b3a1.cl-A,-0.102152453
https-api-github-com-repos-caoyilun-project-git-blobs-3e145d8acb3380d148e60d277800ba4d23ba8c0a.cl-K,-0.102765392
https-api-github-com-repos-lxc-xx-adventures_in_opencl-git-blobs-49171f9287d3990defecc5737a74ba6074a9b9fa.cl-A,-0.141784856
https-api-github-com-repos-amcelroy-OpenCLV-git-blobs-8a9285516aad18dc66b130d8edd22c6b3c0de685.cl-A,0.043103032
https-api-github-com-repos-Polytonic-Chlorine-git-blobs-b4fa560d1fae19e97e3a240a14742e178e9524dd.cl-A,-0.171486518
