random_seed,platform.processor_1.type,trace,representation,platform.processor_0.type,threshold,log_level,mapping,design_centering.perturbation.perturbation_type,platform.name,platform,kpn,type,passed
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,5930ms,ERROR,"[57, 42, 18, 43, 48, 25, 32, 20]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,5930ms,ERROR,"[31, 80, 65, 70, 47, 6, 78, 6]",classic,exynos,mppa_coolidge,audio_filter,rand,10.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,5930ms,ERROR,"[83, 26, 61, 28, 21, 57, 70, 32]",classic,exynos,mppa_coolidge,audio_filter,rand,20.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,5930ms,ERROR,"[52, 46, 34, 67, 63, 34, 51, 2]",classic,exynos,mppa_coolidge,audio_filter,rand,30.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,5930ms,ERROR,"[0, 29, 8, 33, 25, 79, 23, 46]",classic,exynos,mppa_coolidge,audio_filter,rand,20.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,5930ms,ERROR,"[31, 70, 19, 16, 13, 4, 80, 50]",classic,exynos,mppa_coolidge,audio_filter,rand,40.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,5930ms,ERROR,"[83, 80, 48, 76, 36, 32, 72, 30]",classic,exynos,mppa_coolidge,audio_filter,rand,20.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,5930ms,ERROR,"[68, 31, 35, 83, 60, 2, 82, 76]",classic,exynos,mppa_coolidge,audio_filter,rand,20.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,5930ms,ERROR,"[17, 81, 82, 48, 3, 6, 31, 65]",classic,exynos,mppa_coolidge,audio_filter,rand,50.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[24, 73, 41, 7, 39, 66, 47, 10]",classic,exynos,mppa_coolidge,audio_filter,center,80.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[0, 29, 8, 33, 25, 79, 23, 46]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[17, 81, 82, 48, 3, 6, 31, 65]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[83, 26, 61, 28, 21, 57, 70, 32]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[57, 42, 18, 43, 48, 25, 32, 20]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[83, 80, 48, 76, 36, 32, 72, 30]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[31, 80, 65, 70, 47, 6, 78, 6]",classic,exynos,mppa_coolidge,audio_filter,rand,30.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[15, 64, 10, 49, 37, 9, 67, 59]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[68, 31, 35, 83, 60, 2, 82, 76]",classic,exynos,mppa_coolidge,audio_filter,rand,50.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[52, 46, 34, 67, 63, 34, 51, 2]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
7,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[31, 70, 19, 16, 13, 4, 80, 50]",classic,exynos,mppa_coolidge,audio_filter,rand,50.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[10, 74, 82, 78, 80, 60, 25, 3]",representation,exynos,mppa_coolidge,audio_filter,center,60.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[24, 81, 25, 10, 67, 24, 72, 19]",representation,exynos,mppa_coolidge,audio_filter,rand,70.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[37, 55, 65, 77, 52, 53, 84, 76]",representation,exynos,mppa_coolidge,audio_filter,rand,60.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[6, 84, 56, 34, 81, 54, 69, 83]",representation,exynos,mppa_coolidge,audio_filter,rand,40.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[63, 19, 4, 34, 26, 27, 0, 79]",representation,exynos,mppa_coolidge,audio_filter,rand,10.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[45, 22, 19, 8, 78, 32, 1, 45]",representation,exynos,mppa_coolidge,audio_filter,rand,60.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[33, 75, 8, 36, 44, 32, 1, 68]",representation,exynos,mppa_coolidge,audio_filter,rand,90.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[62, 27, 35, 60, 19, 41, 22, 3]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[73, 48, 40, 67, 82, 7, 23, 52]",representation,exynos,mppa_coolidge,audio_filter,rand,0.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[62, 65, 77, 20, 55, 68, 75, 9]",representation,exynos,mppa_coolidge,audio_filter,rand,0.0
6,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,7909ms,ERROR,"[45, 82, 69, 53, 5, 60, 47, 38]",representation,exynos,mppa_coolidge,audio_filter,rand,90.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[76, 61, 11, 73, 6, 62, 28, 32]",classic,exynos,mppa_coolidge,audio_filter,center,60.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[48, 39, 39, 33, 70, 16, 10, 62]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[59, 76, 56, 16, 68, 26, 73, 40]",classic,exynos,mppa_coolidge,audio_filter,rand,50.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[78, 54, 66, 49, 30, 83, 41, 38]",classic,exynos,mppa_coolidge,audio_filter,rand,90.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[49, 18, 51, 75, 71, 26, 9, 3]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[47, 30, 19, 4, 35, 40, 58, 19]",classic,exynos,mppa_coolidge,audio_filter,rand,80.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[6, 57, 63, 4, 6, 65, 68, 62]",classic,exynos,mppa_coolidge,audio_filter,rand,80.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[15, 67, 45, 46, 78, 45, 74, 8]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[9, 3, 48, 83, 83, 54, 48, 36]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[31, 62, 63, 12, 18, 12, 41, 30]",classic,exynos,mppa_coolidge,audio_filter,rand,50.0
5,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[79, 59, 39, 22, 46, 82, 0, 73]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[38, 20, 28, 46, 68, 1, 21, 49]",classic,exynos,mppa_coolidge,audio_filter,center,60.0
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[53, 68, 26, 31, 77, 0, 30, 15]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[57, 13, 82, 20, 4, 65, 18, 56]",classic,exynos,mppa_coolidge,audio_filter,rand,80.0
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[15, 48, 15, 39, 36, 8, 6, 34]",classic,exynos,mppa_coolidge,audio_filter,rand,50.0
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[36, 45, 18, 35, 33, 20, 77, 14]",classic,exynos,mppa_coolidge,audio_filter,rand,80.0
